Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
9480.0, 0.39017612
9490.0, 0.39013764
9500.0, 0.3900993
9510.0, 0.39006096
9520.0, 0.39002275
9530.0, 0.38998458
9540.0, 0.3899465
9550.0, 0.3899085
9560.0, 0.38987055
9570.0, 0.38983268
9580.0, 0.3897949
9590.0, 0.38975716
9600.0, 0.3897195
9610.0, 0.3896819
9620.0, 0.3896444
9630.0, 0.38960695
9640.0, 0.38956958
9650.0, 0.3895323
9660.0, 0.38949504
9670.0, 0.3894579
9680.0, 0.38942084
9690.0, 0.3893838
9700.0, 0.38934687
9710.0, 0.38931
9720.0, 0.3892732
9730.0, 0.38923645
9740.0, 0.3891998
9750.0, 0.3891632
9760.0, 0.38912666
9770.0, 0.3890902
9780.0, 0.38905382
9790.0, 0.38901752
9800.0, 0.38898125
9810.0, 0.3889451
9820.0, 0.38890898
9830.0, 0.38887295
9840.0, 0.38883698
9850.0, 0.38880107
9860.0, 0.38876525
9870.0, 0.38872948
9880.0, 0.38869378
9890.0, 0.38865817
9900.0, 0.38862258
9910.0, 0.3885871
9920.0, 0.38855168
9930.0, 0.3885163
9940.0, 0.38848102
9950.0, 0.3884458
9960.0, 0.38841063
9970.0, 0.38837555
9980.0, 0.3883405
9990.0, 0.38830557
10000.0, 0.38827068
10010.0, 0.38823587
10020.0, 0.3882011
10030.0, 0.3881664
10040.0, 0.3881318
10050.0, 0.38809723
10060.0, 0.38806275
10070.0, 0.38802832
10080.0, 0.38799393
10090.0, 0.38795966
10100.0, 0.38792542
10110.0, 0.38789126
10120.0, 0.38785717
10130.0, 0.38782313
10140.0, 0.38778916
10150.0, 0.38775524
10160.0, 0.38772142
10170.0, 0.38768765
10180.0, 0.38765395
10190.0, 0.38762027
10200.0, 0.3875867
10210.0, 0.3875532
10220.0, 0.38751975
10230.0, 0.38748637
10240.0, 0.38745302
10250.0, 0.38741976
10260.0, 0.3873866
10270.0, 0.38735345
10280.0, 0.38732037
10290.0, 0.38728735
10300.0, 0.38725442
10310.0, 0.38722154
10320.0, 0.3871887
10330.0, 0.38715595
