#    time,   allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
1141.935, -0.0021383602, -2.529179E-4, -1.8610542E-4, -0.0016993369, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -6.7376276E-4, -1.39939E-4, -1.09636174E-4, -4.2418757E-4, -1.4508891E-4, -3.2942582E-5, -7.6037235E-5, -3.6109093E-5, 
1162.573, -0.0021439516, -2.5442743E-4, -1.8309573E-4, -0.0017064279, -0.0013195084, -8.003632E-5, -4.3199995E-7, -0.00123904, -6.8797497E-4, -1.429076E-4, -1.1196191E-4, -4.331056E-4, -1.3646744E-4, -3.148359E-5, -7.0701724E-5, -3.42821E-5, 
1182.0808, -0.002149771, -2.5594237E-4, -1.8188213E-4, -0.0017119466, -0.0013195088, -8.003632E-5, -4.32E-7, -0.0012390405, -7.0054946E-4, -1.4610299E-4, -1.14465314E-4, -4.3998117E-4, -1.2971341E-4, -2.9803152E-5, -6.698482E-5, -3.2925454E-5, 
1201.6469, -0.0021502385, -2.5622643E-4, -1.8085359E-4, -0.0017131588, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.035215E-4, -1.4690429E-4, -1.15093164E-4, -4.41524E-4, -1.2720858E-4, -2.928582E-5, -6.532843E-5, -3.259432E-5, 
1227.7349, -0.002151342, -2.5643816E-4, -1.8195527E-4, -0.0017129487, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.0446153E-4, -1.4743507E-4, -1.1550892E-4, -4.4151754E-4, -1.2737195E-4, -2.8966748E-5, -6.601434E-5, -3.2390864E-5, 
1240.153, -0.0021547177, -2.5773654E-4, -1.8106628E-4, -0.0017159149, -0.0013195087, -8.003632E-5, -4.3199995E-7, -0.0012390404, -7.1161165E-4, -1.4945812E-4, -1.17093994E-4, -4.4505965E-4, -1.2359727E-4, -2.8242079E-5, -6.3540254E-5, -3.1814936E-5, 
1272.8507, -0.0021564465, -2.5865648E-4, -1.8015044E-4, -0.00171764, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.15789E-4, -1.5057325E-4, -1.1796759E-4, -4.472481E-4, -1.21149256E-4, -2.8046914E-5, -6.175085E-5, -3.1351487E-5, 
1280.3405, -0.0021589738, -2.590182E-4, -1.8053931E-4, -0.001719417, -0.0013195088, -8.003632E-5, -4.320001E-7, -0.0012390404, -7.2029495E-4, -1.5196923E-4, -1.19061275E-4, -4.4926445E-4, -1.1917048E-4, -2.7012667E-5, -6.1046E-5, -3.1111824E-5, 
1300.6718, -0.0021590295, -2.59766E-4, -1.7975485E-4, -0.0017195084, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.2240125E-4, -1.5251625E-4, -1.1948988E-4, -4.5039513E-4, -1.17119336E-4, -2.721343E-5, -5.9832975E-5, -3.0072933E-5, 
1327.6724, -0.0021613694, -2.600435E-4, -1.797464E-4, -0.0017215796, -0.0013195088, -8.003632E-5, -4.3200004E-7, -0.0012390405, -7.2608073E-4, -1.5352099E-4, -1.2027703E-4, -4.5228255E-4, -1.1578004E-4, -2.6486186E-5, -5.90374E-5, -3.0256477E-5, 
1346.4233, -0.0021643005, -2.6066552E-4, -1.8012458E-4, -0.0017235107, -0.0013195088, -8.003632E-5, -4.320001E-7, -0.0012390404, -7.3041755E-4, -1.5473366E-4, -1.212271E-4, -4.5445666E-4, -1.1437425E-4, -2.5895539E-5, -5.846552E-5, -3.0013187E-5, 
1363.4845, -0.0021651562, -2.6065065E-4, -1.8018822E-4, -0.0017243171, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.316567E-4, -1.5515993E-4, -1.2156106E-4, -4.5493565E-4, -1.1399062E-4, -2.54544E-5, -5.8195154E-5, -3.0341074E-5, 
1397.6066, -0.0021662808, -2.6115484E-4, -1.8088994E-4, -0.001724236, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.321713E-4, -1.5544605E-4, -1.21785335E-4, -4.5493993E-4, -1.14600705E-4, -2.5672472E-5, -5.8672616E-5, -3.0255622E-5, 
1400.4714, -0.002166651, -2.6153203E-4, -1.8102767E-4, -0.0017240916, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.3382264E-4, -1.5613523E-4, -1.2232517E-4, -4.5536223E-4, -1.1331984E-4, -2.5360478E-5, -5.8270503E-5, -2.9688856E-5, 
1435.0402, -0.0021674414, -2.6168727E-4, -1.8035778E-4, -0.0017253961, -0.0013195085, -8.003632E-5, -4.3200004E-7, -0.0012390403, -7.3602557E-4, -1.5664457E-4, -1.2272422E-4, -4.566568E-4, -1.119068E-4, -2.5006366E-5, -5.7201534E-5, -2.969889E-5, 
1441.0295, -0.0021689227, -2.6239784E-4, -1.7982168E-4, -0.0017267033, -0.0013195088, -8.003632E-5, -4.320001E-7, -0.0012390404, -7.3927676E-4, -1.5741646E-4, -1.2332902E-4, -4.585313E-4, -1.1013725E-4, -2.4945102E-5, -5.6060668E-5, -2.9131494E-5, 
1474.5421, -0.0021699162, -2.6265765E-4, -1.7929604E-4, -0.0017279624, -0.0013195088, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.4105186E-4, -1.5782203E-4, -1.2364677E-4, -4.5958316E-4, -1.0935538E-4, -2.4799307E-5, -5.521729E-5, -2.9338797E-5, 
1512.842, -0.002170044, -2.6236175E-4, -1.796157E-4, -0.0017280666, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.4158935E-4, -1.5811893E-4, -1.2387929E-4, -4.595911E-4, -1.0894615E-4, -2.4206509E-5, -5.530442E-5, -2.9435225E-5, 
1513.2831, -0.0021704875, -2.6272406E-4, -1.8049925E-4, -0.0017272641, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -7.4224756E-4, -1.5849053E-4, -1.2417044E-4, -4.595866E-4, -1.0873116E-4, -2.4197221E-5, -5.589681E-5, -2.8637129E-5, 
1521.2712, -0.002172233, -2.6339947E-4, -1.7972078E-4, -0.0017291129, -0.0013195088, -8.003632E-5, -4.320001E-7, -0.0012390404, -7.4523024E-4, -1.5912094E-4, -1.2466444E-4, -4.614448E-4, -1.0749397E-4, -2.4242196E-5, -5.4624343E-5, -2.8627426E-5, 
