Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
6570.0, 3.7286482
6580.0, 3.7253203
6590.0, 3.722
6600.0, 3.7186868
6610.0, 3.7153802
6620.0, 3.7120817
6630.0, 3.7087896
6640.0, 3.705504
6650.0, 3.7022266
6660.0, 3.6989555
6670.0, 3.6956923
6680.0, 3.6924357
6690.0, 3.689185
6700.0, 3.6859426
6710.0, 3.6827068
6720.0, 3.6794775
6730.0, 3.6762555
6740.0, 3.6730404
6750.0, 3.6698318
6760.0, 3.6666298
6770.0, 3.663435
6780.0, 3.6602468
6790.0, 3.6570656
6800.0, 3.653891
6810.0, 3.650723
6820.0, 3.6475618
6830.0, 3.6444073
6840.0, 3.6412592
6850.0, 3.6381178
6860.0, 3.6349838
6870.0, 3.6318552
6880.0, 3.6287332
6890.0, 3.6256187
6900.0, 3.62251
6910.0, 3.6194081
6920.0, 3.6163123
6930.0, 3.6132233
6940.0, 3.6101408
6950.0, 3.6070645
6960.0, 3.6039946
6970.0, 3.6009305
6980.0, 3.5978737
6990.0, 3.594823
7000.0, 3.5917783
7010.0, 3.58874
7020.0, 3.585708
7030.0, 3.5826826
7040.0, 3.579663
7050.0, 3.5766494
7060.0, 3.5736423
7070.0, 3.5706415
7080.0, 3.5676467
7090.0, 3.5646582
7100.0, 3.5616755
7110.0, 3.5586991
7120.0, 3.555729
7130.0, 3.5527644
7140.0, 3.5498064
7150.0, 3.5468538
7160.0, 3.5439079
7170.0, 3.5409675
7180.0, 3.538033
7190.0, 3.5351045
7200.0, 3.5321825
7210.0, 3.5292656
7220.0, 3.526355
7230.0, 3.5234504
7240.0, 3.5205517
7250.0, 3.5176582
7260.0, 3.514771
7270.0, 3.5118895
7280.0, 3.509014
7290.0, 3.5061443
7300.0, 3.50328
7310.0, 3.500421
7320.0, 3.4975684
7330.0, 3.4947212
7340.0, 3.49188
7350.0, 3.4890447
7360.0, 3.4862142
7370.0, 3.4833896
7380.0, 3.4805713
7390.0, 3.4777575
7400.0, 3.4749496
7410.0, 3.4721477
7420.0, 3.469351
7430.0, 3.4665601
7440.0, 3.463774
7450.0, 3.4609945
7460.0, 3.4582195
7470.0, 3.4554505
7480.0, 3.4526865
7490.0, 3.4499283
7500.0, 3.4471753
7510.0, 3.444428
7520.0, 3.4416854
7530.0, 3.438949
7540.0, 3.4362173
7550.0, 3.4334908
7560.0, 3.4307702
7570.0, 3.4280543
7580.0, 3.4253447
7590.0, 3.4226391
7600.0, 3.4199395
7610.0, 3.4172454
7620.0, 3.4145553
7630.0, 3.4118714
7640.0, 3.4091923
7650.0, 3.4065192
7660.0, 3.4038503
7670.0, 3.4011865
7680.0, 3.398528
7690.0, 3.3958747
7700.0, 3.3932266
7710.0, 3.3905833
7720.0, 3.3879454
7730.0, 3.3853126
7740.0, 3.3826847
7750.0, 3.3800614
7760.0, 3.3774436
7770.0, 3.3748305
7780.0, 3.3722222
7790.0, 3.3696194
7800.0, 3.367021
7810.0, 3.364428
7820.0, 3.3618393
7830.0, 3.3592563
7840.0, 3.3566775
7850.0, 3.3541043
7860.0, 3.351535
7870.0, 3.3489714
7880.0, 3.3464122
7890.0, 3.3438578
7900.0, 3.341308
7910.0, 3.3387635
7920.0, 3.3362234
7930.0, 3.333688
7940.0, 3.3311582
7950.0, 3.3286324
7960.0, 3.326111
7970.0, 3.3235948
7980.0, 3.3210828
7990.0, 3.3185763
8000.0, 3.316074
8010.0, 3.313576
8020.0, 3.3110836
8030.0, 3.308595
8040.0, 3.3061113
8050.0, 3.3036318
8060.0, 3.301157
8070.0, 3.298687
8080.0, 3.2962215
8090.0, 3.2937605
8100.0, 3.291304
8110.0, 3.2888522
8120.0, 3.286405
8130.0, 3.2839613
8140.0, 3.281523
8150.0, 3.2790897
8160.0, 3.2766595
8170.0, 3.2742345
8180.0, 3.2718139
8190.0, 3.2693977
8200.0, 3.266986
8210.0, 3.2645786
8220.0, 3.2621753
8230.0, 3.2597768
8240.0, 3.257382
8250.0, 3.2549922
8260.0, 3.2526062
8270.0, 3.2502248
8280.0, 3.2478476
8290.0, 3.2454753
8300.0, 3.2431066
8310.0, 3.2407422
8320.0, 3.2383826
8330.0, 3.236027
8340.0, 3.2336745
8350.0, 3.2313275
8360.0, 3.2289846
8370.0, 3.2266452
8380.0, 3.2243109
8390.0, 3.2219799
8400.0, 3.219654
8410.0, 3.217332
8420.0, 3.2150135
8430.0, 3.2126994
8440.0, 3.2103896
8450.0, 3.2080839
8460.0, 3.2057824
8470.0, 3.2034848
8480.0, 3.2011912
8490.0, 3.1989017
8500.0, 3.1966157
8510.0, 3.1943347
8520.0, 3.1920571
8530.0, 3.189784
8540.0, 3.1875143
8550.0, 3.185249
8560.0, 3.1829877
8570.0, 3.1807306
8580.0, 3.178477
8590.0, 3.1762273
8600.0, 3.173982
8610.0, 3.1717403
8620.0, 3.1695025
8630.0, 3.1672685
8640.0, 3.1650388
8650.0, 3.162813
8660.0, 3.1605906
8670.0, 3.158372
8680.0, 3.1561577
8690.0, 3.1539474
8700.0, 3.1517408
8710.0, 3.1495373
8720.0, 3.147338
8730.0, 3.145143
8740.0, 3.1429508
8750.0, 3.1407633
8760.0, 3.1385794
8770.0, 3.1363993
8780.0, 3.1342227
8790.0, 3.1320503
8800.0, 3.1298807
8810.0, 3.1277156
8820.0, 3.125554
8830.0, 3.123396
8840.0, 3.1212418
8850.0, 3.1190908
8860.0, 3.1169446
8870.0, 3.114801
8880.0, 3.1126614
8890.0, 3.1105254
8900.0, 3.1083934
8910.0, 3.1062644
8920.0, 3.1041396
8930.0, 3.1020179
8940.0, 3.0999005
8950.0, 3.0977862
8960.0, 3.0956748
8970.0, 3.093568
8980.0, 3.091464
8990.0, 3.0893645
9000.0, 3.0872676
9010.0, 3.085175
9020.0, 3.083085
9030.0, 3.0809994
9040.0, 3.0789168
9050.0, 3.076838
9060.0, 3.0747623
9070.0, 3.072691
9080.0, 3.070622
9090.0, 3.0685565
9100.0, 3.066495
9110.0, 3.0644367
9120.0, 3.062382
9130.0, 3.0603304
9140.0, 3.0582826
9150.0, 3.056238
9160.0, 3.054197
9170.0, 3.0521588
9180.0, 3.0501246
9190.0, 3.0480936
9200.0, 3.0460656
9210.0, 3.0440412
9220.0, 3.0420198
9230.0, 3.0400026
9240.0, 3.037988
9250.0, 3.0359771
9260.0, 3.0339694
9270.0, 3.0319643
9280.0, 3.0299637
9290.0, 3.0279655
9300.0, 3.025971
9310.0, 3.0239797
9320.0, 3.0219915
9330.0, 3.0200064
9340.0, 3.0180252
9350.0, 3.016046
9360.0, 3.0140715
9370.0, 3.012099
9380.0, 3.0101306
9390.0, 3.0081644
9400.0, 3.0062027
9410.0, 3.0042434
9420.0, 3.0022874
9430.0, 3.0003345
9440.0, 2.998385
9450.0, 2.9964378
9460.0, 2.9944944
9470.0, 2.992554
9480.0, 2.990617
9490.0, 2.9886835
9500.0, 2.9867518
9510.0, 2.984824
9520.0, 2.9828992
9530.0, 2.9809778
9540.0, 2.979059
9550.0, 2.9771435
9560.0, 2.975231
9570.0, 2.9733214
9580.0, 2.971415
9590.0, 2.9695113
9600.0, 2.967611
9610.0, 2.965714
9620.0, 2.9638197
9630.0, 2.9619281
9640.0, 2.96004
9650.0, 2.9581544
9660.0, 2.9562724
9670.0, 2.9543931
9680.0, 2.9525168
9690.0, 2.950643
9700.0, 2.9487727
9710.0, 2.9469054
9720.0, 2.9450407
9730.0, 2.9431791
9740.0, 2.9413202
9750.0, 2.9394653
9760.0, 2.9376116
9770.0, 2.935762
9780.0, 2.9339147
9790.0, 2.9320707
9800.0, 2.9302294
9810.0, 2.928391
9820.0, 2.9265554
9830.0, 2.9247222
9840.0, 2.9228926
9850.0, 2.9210658
9860.0, 2.9192417
9870.0, 2.9174206
9880.0, 2.9156017
9890.0, 2.913786
