Energy (in eV), backscattering yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
9770.0, 0.3158137
9780.0, 0.3157811
9790.0, 0.31574857
9800.0, 0.31571612
9810.0, 0.31568375
9820.0, 0.31565142
9830.0, 0.31561914
9840.0, 0.31558695
9850.0, 0.31555483
9860.0, 0.31552273
9870.0, 0.31549072
9880.0, 0.31545877
9890.0, 0.3154269
9900.0, 0.31539506
9910.0, 0.3153633
9920.0, 0.3153316
9930.0, 0.31529996
9940.0, 0.31526837
9950.0, 0.31523684
9960.0, 0.31520537
9970.0, 0.31517398
9980.0, 0.31514263
9990.0, 0.31511137
10000.0, 0.31508014
10010.0, 0.31504902
10020.0, 0.31501788
10030.0, 0.31498685
10040.0, 0.3149559
10050.0, 0.31492496
10060.0, 0.3148941
10070.0, 0.3148633
10080.0, 0.31483257
10090.0, 0.3148019
10100.0, 0.3147713
10110.0, 0.31474072
10120.0, 0.31471023
10130.0, 0.3146798
10140.0, 0.3146494
10150.0, 0.31461906
10160.0, 0.31458884
10170.0, 0.31455863
10180.0, 0.31452847
10190.0, 0.3144984
10200.0, 0.31446838
10210.0, 0.3144384
10220.0, 0.3144085
10230.0, 0.31437865
10240.0, 0.31434882
10250.0, 0.31431913
10260.0, 0.31428942
10270.0, 0.31425983
10280.0, 0.31423026
10290.0, 0.31420073
10300.0, 0.31417128
10310.0, 0.3141419
10320.0, 0.31411254
10330.0, 0.31408328
10340.0, 0.31405404
10350.0, 0.3140249
10360.0, 0.31399578
10370.0, 0.31396672
10380.0, 0.31393772
10390.0, 0.31390882
10400.0, 0.3138799
10410.0, 0.31385112
10420.0, 0.31382233
10430.0, 0.3137936
10440.0, 0.31376496
10450.0, 0.31373632
10460.0, 0.31370777
10470.0, 0.3136793
10480.0, 0.31365088
10490.0, 0.31362247
10500.0, 0.31359416
10510.0, 0.3135659
10520.0, 0.31353766
10530.0, 0.3135095
10540.0, 0.3134814
10550.0, 0.31345335
10560.0, 0.31342536
10570.0, 0.3133974
10580.0, 0.3133695
10590.0, 0.31334168
10600.0, 0.3133139
10610.0, 0.3132862
10620.0, 0.3132585
10630.0, 0.3132309
10640.0, 0.31320333
10650.0, 0.3131758
10660.0, 0.31314835
10670.0, 0.31312096
10680.0, 0.3130936
10690.0, 0.3130663
10700.0, 0.31303906
10710.0, 0.31301185
10720.0, 0.31298473
10730.0, 0.31295764
10740.0, 0.3129306
10750.0, 0.31290364
10760.0, 0.31287667
10770.0, 0.31284982
10780.0, 0.31282297
10790.0, 0.3127962
10800.0, 0.3127695
10810.0, 0.31274283
10820.0, 0.31271622
10830.0, 0.31268966
10840.0, 0.31266314
10850.0, 0.31263667
10860.0, 0.31261027
10870.0, 0.3125839
10880.0, 0.31255758
10890.0, 0.31253135
10900.0, 0.31250516
10910.0, 0.31247902
10920.0, 0.3124529
10930.0, 0.31242684
10940.0, 0.31240085
10950.0, 0.3123749
10960.0, 0.31234902
10970.0, 0.31232312
10980.0, 0.31229734
10990.0, 0.31227162
11000.0, 0.3122459
11010.0, 0.31222028
11020.0, 0.31219468
11030.0, 0.3121691
11040.0, 0.3121436
11050.0, 0.31211817
11060.0, 0.31209278
11070.0, 0.3120674
11080.0, 0.31204212
11090.0, 0.31201684
11100.0, 0.31199166
11110.0, 0.3119665
11120.0, 0.3119414
11130.0, 0.31191635
11140.0, 0.31189135
11150.0, 0.3118664
11160.0, 0.31184146
11170.0, 0.3118166
11180.0, 0.3117918
11190.0, 0.31176707
11200.0, 0.31174234
11210.0, 0.31171766
11220.0, 0.31169307
11230.0, 0.31166852
11240.0, 0.31164396
11250.0, 0.3116195
11260.0, 0.31159508
11270.0, 0.31157067
11280.0, 0.31154636
11290.0, 0.31152207
11300.0, 0.31149784
11310.0, 0.31147367
11320.0, 0.3114495
11330.0, 0.31142542
11340.0, 0.31140137
11350.0, 0.31137738
11360.0, 0.31135342
11370.0, 0.31132948
11380.0, 0.31130564
11390.0, 0.3112818
11400.0, 0.31125802
11410.0, 0.31123433
11420.0, 0.31121066
11430.0, 0.31118703
11440.0, 0.31116346
11450.0, 0.3111399
11460.0, 0.31111643
11470.0, 0.31109294
11480.0, 0.31106955
