Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
8090.0, 0.5955804
8100.0, 0.59504586
8110.0, 0.5945124
8120.0, 0.59397995
8130.0, 0.59344846
8140.0, 0.592918
8150.0, 0.5923885
8160.0, 0.5918601
8170.0, 0.59133273
8180.0, 0.5908062
8190.0, 0.5902809
8200.0, 0.5897565
8210.0, 0.5892331
8220.0, 0.58871067
8230.0, 0.5881893
8240.0, 0.58766884
8250.0, 0.5871493
8260.0, 0.5866309
8270.0, 0.5861134
8280.0, 0.58559704
8290.0, 0.58508146
8300.0, 0.5845669
8310.0, 0.5840532
8320.0, 0.5835407
8330.0, 0.58302903
8340.0, 0.5825184
8350.0, 0.5820086
8360.0, 0.5814998
8370.0, 0.58099204
8380.0, 0.58048505
8390.0, 0.57997924
8400.0, 0.5794742
8410.0, 0.57897025
8420.0, 0.5784671
8430.0, 0.5779649
8440.0, 0.57746357
8450.0, 0.5769634
8460.0, 0.57646394
8470.0, 0.5759655
8480.0, 0.575468
8490.0, 0.57497144
8500.0, 0.5744758
8510.0, 0.5739809
8520.0, 0.57348716
8530.0, 0.5729942
8540.0, 0.57250214
8550.0, 0.572011
8560.0, 0.5715207
8570.0, 0.5710314
8580.0, 0.57054293
8590.0, 0.5700554
8600.0, 0.56956875
8610.0, 0.5690831
8620.0, 0.56859815
8630.0, 0.56811416
8640.0, 0.567631
8650.0, 0.56714886
8660.0, 0.56666744
8670.0, 0.56618696
8680.0, 0.5657074
8690.0, 0.56522864
8700.0, 0.56475085
8710.0, 0.5642738
8720.0, 0.56379765
8730.0, 0.56332237
8740.0, 0.56284785
8750.0, 0.56237435
8760.0, 0.56190157
8770.0, 0.5614298
8780.0, 0.56095886
8790.0, 0.5604886
8800.0, 0.56001925
8810.0, 0.55955076
8820.0, 0.55908316
8830.0, 0.55861634
8840.0, 0.5581503
8850.0, 0.5576852
8860.0, 0.55722094
8870.0, 0.55675745
8880.0, 0.5562948
8890.0, 0.55583286
8900.0, 0.55537194
8910.0, 0.55491173
8920.0, 0.55445236
8930.0, 0.5539937
8940.0, 0.55353606
8950.0, 0.5530791
8960.0, 0.5526229
8970.0, 0.55216753
8980.0, 0.5517131
8990.0, 0.55125934
9000.0, 0.5508064
9010.0, 0.55035424
9020.0, 0.5499029
9030.0, 0.54945236
9040.0, 0.54900265
9050.0, 0.5485536
9060.0, 0.5481054
9070.0, 0.547658
9080.0, 0.54721147
9090.0, 0.5467656
9100.0, 0.54632056
9110.0, 0.54587626
9120.0, 0.54543275
9130.0, 0.54499
9140.0, 0.54454803
9150.0, 0.54410684
9160.0, 0.54366636
9170.0, 0.54322666
9180.0, 0.54278773
9190.0, 0.5423497
9200.0, 0.5419122
9210.0, 0.5414755
9220.0, 0.5410397
9230.0, 0.5406046
9240.0, 0.54017013
9250.0, 0.53973645
9260.0, 0.5393036
9270.0, 0.5388714
9280.0, 0.53844005
9290.0, 0.53800935
9300.0, 0.53757936
9310.0, 0.53715014
9320.0, 0.5367217
9330.0, 0.536294
9340.0, 0.53586686
9350.0, 0.5354406
9360.0, 0.5350151
9370.0, 0.53459024
9380.0, 0.5341661
9390.0, 0.5337427
9400.0, 0.53332007
9410.0, 0.53289807
9420.0, 0.53247684
9430.0, 0.53205633
9440.0, 0.53163654
9450.0, 0.53121734
9460.0, 0.530799
9470.0, 0.53038126
9480.0, 0.5299643
9490.0, 0.5295479
9500.0, 0.5291324
9510.0, 0.52871746
9520.0, 0.52830327
9530.0, 0.5278898
9540.0, 0.52747697
9550.0, 0.5270648
9560.0, 0.52665335
9570.0, 0.5262427
9580.0, 0.52583265
