Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
8010.0, 0.23858862
8020.0, 0.23853311
8030.0, 0.2384777
8040.0, 0.23842241
8050.0, 0.2383672
8060.0, 0.23831211
8070.0, 0.23825713
8080.0, 0.23820223
8090.0, 0.23814742
8100.0, 0.23809275
8110.0, 0.23803815
8120.0, 0.23798367
8130.0, 0.23792927
8140.0, 0.237875
8150.0, 0.2378208
8160.0, 0.23776671
8170.0, 0.23771273
8180.0, 0.23765881
8190.0, 0.23760504
8200.0, 0.23755135
8210.0, 0.23749775
8220.0, 0.23744427
8230.0, 0.23739086
8240.0, 0.23733756
8250.0, 0.23728438
8260.0, 0.23723127
8270.0, 0.23717827
8280.0, 0.23712535
8290.0, 0.23707254
8300.0, 0.23701982
8310.0, 0.23696722
8320.0, 0.2369147
8330.0, 0.23686227
8340.0, 0.23680997
8350.0, 0.23675774
8360.0, 0.23670559
8370.0, 0.23665357
8380.0, 0.23660162
8390.0, 0.23654976
8400.0, 0.23649801
8410.0, 0.23644638
8420.0, 0.23639484
8430.0, 0.23634337
8440.0, 0.236292
8450.0, 0.23624073
8460.0, 0.23618954
8470.0, 0.23613848
8480.0, 0.23608749
8490.0, 0.23603658
8500.0, 0.2359858
8510.0, 0.23593508
8520.0, 0.23588449
8530.0, 0.23583397
8540.0, 0.23578353
8550.0, 0.23573321
8560.0, 0.23568298
8570.0, 0.23563282
8580.0, 0.23558277
8590.0, 0.23553282
8600.0, 0.23548295
8610.0, 0.23543316
8620.0, 0.23538348
8630.0, 0.23533389
8640.0, 0.2352844
8650.0, 0.23523499
8660.0, 0.23518567
8670.0, 0.23513646
8680.0, 0.23508734
8690.0, 0.23503828
8700.0, 0.23498933
8710.0, 0.23494047
8720.0, 0.2348917
8730.0, 0.23484302
8740.0, 0.23479444
8750.0, 0.23474595
8760.0, 0.23469752
8770.0, 0.23464921
8780.0, 0.23460098
8790.0, 0.23455283
8800.0, 0.23450479
8810.0, 0.23445682
8820.0, 0.23440894
8830.0, 0.23436116
8840.0, 0.23431349
8850.0, 0.23426588
8860.0, 0.23421836
8870.0, 0.23417093
8880.0, 0.23412357
8890.0, 0.23407634
