Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 40.0 degree
   X,       Y
9460.0, 0.15067403
9470.0, 0.15063289
9480.0, 0.15059184
9490.0, 0.15055086
9500.0, 0.15050995
9510.0, 0.15046912
9520.0, 0.15042838
9530.0, 0.15038773
9540.0, 0.15034714
9550.0, 0.15030664
9560.0, 0.1502662
9570.0, 0.15022583
9580.0, 0.15018557
9590.0, 0.15014537
9600.0, 0.15010525
9610.0, 0.1500652
9620.0, 0.15002522
9630.0, 0.14998534
9640.0, 0.14994553
9650.0, 0.14990577
9660.0, 0.14986612
9670.0, 0.14982653
9680.0, 0.14978702
9690.0, 0.14974758
9700.0, 0.14970823
9710.0, 0.14966893
9720.0, 0.14962973
9730.0, 0.1495906
9740.0, 0.14955154
9750.0, 0.14951256
9760.0, 0.14947364
9770.0, 0.14943482
9780.0, 0.14939605
9790.0, 0.14935736
9800.0, 0.14931875
9810.0, 0.14928022
9820.0, 0.14924176
9830.0, 0.14920337
9840.0, 0.14916505
9850.0, 0.14912681
9860.0, 0.14908864
9870.0, 0.14905053
9880.0, 0.14901252
9890.0, 0.14897457
9900.0, 0.14893669
9910.0, 0.1488989
9920.0, 0.14886115
9930.0, 0.1488235
9940.0, 0.1487859
9950.0, 0.1487484
9960.0, 0.14871097
9970.0, 0.14867358
9980.0, 0.14863628
9990.0, 0.14859906
10000.0, 0.14856191
10010.0, 0.14852482
10020.0, 0.1484878
10030.0, 0.14845087
10040.0, 0.148414
10050.0, 0.1483772
10060.0, 0.14834048
10070.0, 0.14830382
10080.0, 0.14826722
10090.0, 0.1482307
10100.0, 0.14819427
10110.0, 0.14815788
10120.0, 0.14812158
10130.0, 0.14808534
10140.0, 0.14804918
10150.0, 0.14801307
10160.0, 0.14797705
10170.0, 0.14794108
10180.0, 0.1479052
10190.0, 0.14786938
10200.0, 0.14783363
10210.0, 0.14779794
10220.0, 0.14776233
10230.0, 0.14772677
10240.0, 0.14769131
10250.0, 0.14765589
10260.0, 0.14762056
10270.0, 0.14758527
10280.0, 0.14755008
10290.0, 0.14751494
10300.0, 0.14747988
10310.0, 0.14744487
10320.0, 0.14740993
10330.0, 0.14737506
10340.0, 0.14734027
10350.0, 0.14730553
10360.0, 0.14727086
10370.0, 0.14723626
10380.0, 0.14720173
10390.0, 0.14716727
10400.0, 0.14713286
10410.0, 0.14709853
10420.0, 0.14706425
10430.0, 0.14703007
10440.0, 0.14699592
10450.0, 0.14696185
10460.0, 0.14692785
10470.0, 0.14689392
10480.0, 0.14686005
10490.0, 0.14682624
10500.0, 0.1467925
10510.0, 0.14675881
10520.0, 0.1467252
10530.0, 0.14669165
10540.0, 0.14665817
10550.0, 0.14662476
10560.0, 0.14659141
10570.0, 0.1465581
10580.0, 0.14652489
10590.0, 0.14649172
10600.0, 0.14645863
10610.0, 0.14642559
10620.0, 0.14639261
10630.0, 0.14635971
10640.0, 0.14632687
10650.0, 0.14629409
10660.0, 0.14626138
10670.0, 0.14622872
10680.0, 0.14619613
10690.0, 0.1461636
10700.0, 0.14613114
10710.0, 0.14609875
10720.0, 0.1460664
10730.0, 0.14603412
10740.0, 0.1460019
10750.0, 0.14596975
10760.0, 0.14593767
10770.0, 0.14590564
10780.0, 0.14587368
10790.0, 0.14584178
10800.0, 0.14580992
10810.0, 0.14577813
10820.0, 0.14574642
10830.0, 0.14571476
10840.0, 0.14568317
10850.0, 0.14565162
10860.0, 0.14562015
10870.0, 0.14558874
10880.0, 0.14555739
10890.0, 0.14552608
10900.0, 0.14549486
10910.0, 0.14546369
10920.0, 0.14543258
10930.0, 0.14540152
10940.0, 0.14537053
10950.0, 0.1453396
10960.0, 0.14530872
10970.0, 0.14527792
10980.0, 0.14524716
10990.0, 0.14521646
11000.0, 0.14518583
11010.0, 0.14515525
11020.0, 0.14512473
11030.0, 0.14509428
11040.0, 0.14506388
11050.0, 0.14503354
11060.0, 0.14500326
11070.0, 0.14497304
11080.0, 0.14494288
11090.0, 0.14491276
11100.0, 0.14488272
11110.0, 0.14485274
11120.0, 0.1448228
11130.0, 0.14479293
11140.0, 0.14476311
11150.0, 0.14473335
11160.0, 0.14470366
11170.0, 0.14467402
11180.0, 0.14464442
11190.0, 0.1446149
11200.0, 0.14458543
11210.0, 0.14455602
11220.0, 0.14452666
11230.0, 0.14449736
11240.0, 0.14446811
11250.0, 0.14443894
11260.0, 0.1444098
11270.0, 0.14438072
11280.0, 0.1443517
11290.0, 0.14432275
11300.0, 0.14429384
11310.0, 0.144265
11320.0, 0.1442362
11330.0, 0.14420748
11340.0, 0.1441788
11350.0, 0.14415017
11360.0, 0.14412159
11370.0, 0.14409307
11380.0, 0.14406462
11390.0, 0.1440362
11400.0, 0.14400786
11410.0, 0.14397956
11420.0, 0.14395133
11430.0, 0.14392313
11440.0, 0.14389502
11450.0, 0.14386694
11460.0, 0.14383891
11470.0, 0.14381094
11480.0, 0.14378303
11490.0, 0.14375518
11500.0, 0.14372738
11510.0, 0.14369962
11520.0, 0.14367191
11530.0, 0.14364427
11540.0, 0.14361668
11550.0, 0.14358915
11560.0, 0.14356166
11570.0, 0.14353424
