Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
9060.0, 3.0572393
9070.0, 3.0551517
9080.0, 3.0530674
9090.0, 3.0509863
9100.0, 3.0489092
9110.0, 3.0468354
9120.0, 3.0447655
9130.0, 3.0426986
9140.0, 3.0406356
9150.0, 3.0385761
9160.0, 3.0365198
9170.0, 3.0344672
9180.0, 3.0324178
9190.0, 3.0303724
9200.0, 3.0283298
9210.0, 3.0262907
9220.0, 3.0242553
9230.0, 3.0222237
9240.0, 3.0201948
9250.0, 3.0181696
9260.0, 3.016148
9270.0, 3.0141292
9280.0, 3.012114
9290.0, 3.0101027
9300.0, 3.0080938
9310.0, 3.0060894
9320.0, 3.0040877
9330.0, 3.002089
9340.0, 3.0000947
9350.0, 2.9981024
9360.0, 2.9961145
9370.0, 2.9941292
9380.0, 2.9921474
9390.0, 2.9901688
9400.0, 2.9881938
9410.0, 2.9862218
9420.0, 2.984253
9430.0, 2.9822874
9440.0, 2.9803252
9450.0, 2.9783661
9460.0, 2.9764106
9470.0, 2.9744575
9480.0, 2.9725084
9490.0, 2.9705622
9500.0, 2.9686189
9510.0, 2.9666793
9520.0, 2.9647422
9530.0, 2.9628093
9540.0, 2.9608786
9550.0, 2.9589515
9560.0, 2.9570277
9570.0, 2.9551065
9580.0, 2.953189
9590.0, 2.9512737
9600.0, 2.9493628
9610.0, 2.947454
9620.0, 2.9455483
9630.0, 2.9436462
9640.0, 2.9417467
9650.0, 2.939851
9660.0, 2.9379573
9670.0, 2.9360673
9680.0, 2.9341805
9690.0, 2.9322963
9700.0, 2.9304156
9710.0, 2.9285376
9720.0, 2.9266627
9730.0, 2.9247906
9740.0, 2.9229217
9750.0, 2.921056
9760.0, 2.9191928
9770.0, 2.917333
9780.0, 2.9154758
9790.0, 2.9136217
9800.0, 2.9117706
9810.0, 2.9099221
9820.0, 2.9080772
9830.0, 2.9062347
9840.0, 2.9043949
9850.0, 2.9025586
9860.0, 2.9007251
9870.0, 2.8988948
9880.0, 2.8970668
9890.0, 2.895242
9900.0, 2.8934197
9910.0, 2.8916008
9920.0, 2.8897843
9930.0, 2.887971
9940.0, 2.8861606
9950.0, 2.8843522
9960.0, 2.8825474
9970.0, 2.8807456
9980.0, 2.8789463
9990.0, 2.87715
10000.0, 2.875356
10010.0, 2.8735652
10020.0, 2.8717773
10030.0, 2.8699923
10040.0, 2.8682096
10050.0, 2.8664298
10060.0, 2.8646526
10070.0, 2.8628788
10080.0, 2.8611073
