Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
6910.0, 0.3559433
6920.0, 0.355581
6930.0, 0.35521957
6940.0, 0.3548589
6950.0, 0.354499
6960.0, 0.35413992
6970.0, 0.3537816
6980.0, 0.353424
6990.0, 0.35306728
7000.0, 0.3527113
7010.0, 0.35235602
7020.0, 0.35200158
7030.0, 0.35164785
7040.0, 0.35129493
7050.0, 0.35094276
7060.0, 0.3505913
7070.0, 0.35024062
7080.0, 0.3498907
7090.0, 0.34954157
7100.0, 0.3491931
7110.0, 0.3488454
7120.0, 0.34849846
7130.0, 0.34815228
7140.0, 0.3478068
7150.0, 0.34746206
7160.0, 0.34711805
7170.0, 0.3467748
7180.0, 0.3464322
7190.0, 0.3460904
7200.0, 0.3457493
7210.0, 0.3454089
7220.0, 0.34506923
7230.0, 0.34473032
7240.0, 0.34439203
7250.0, 0.3440545
7260.0, 0.3437177
7270.0, 0.34338158
7280.0, 0.34304616
7290.0, 0.34271145
7300.0, 0.34237742
7310.0, 0.34204412
7320.0, 0.34171152
7330.0, 0.3413796
7340.0, 0.34104836
7350.0, 0.34071776
7360.0, 0.34038785
7370.0, 0.34005868
7380.0, 0.3397302
7390.0, 0.33940238
7400.0, 0.33907527
7410.0, 0.33874878
7420.0, 0.33842298
7430.0, 0.3380978
7440.0, 0.33777338
7450.0, 0.33744958
7460.0, 0.3371264
7470.0, 0.33680403
7480.0, 0.33648223
7490.0, 0.33616102
7500.0, 0.33584055
7510.0, 0.33552074
7520.0, 0.33520153
7530.0, 0.33488297
7540.0, 0.33456507
7550.0, 0.33424783
7560.0, 0.3339312
7570.0, 0.33361527
7580.0, 0.33329996
7590.0, 0.33298525
7600.0, 0.33267125
7610.0, 0.3323578
7620.0, 0.33204505
7630.0, 0.3317329
7640.0, 0.33142138
7650.0, 0.33111042
7660.0, 0.3308002
7670.0, 0.3304905
7680.0, 0.3301815
7690.0, 0.32987309
7700.0, 0.3295653
7710.0, 0.3292581
7720.0, 0.32895157
7730.0, 0.3286456
7740.0, 0.32834023
7750.0, 0.3280355
7760.0, 0.32773134
7770.0, 0.32742777
7780.0, 0.32712483
7790.0, 0.32682255
7800.0, 0.32652077
7810.0, 0.32621965
7820.0, 0.32591912
7830.0, 0.32561916
7840.0, 0.3253198
7850.0, 0.32502106
7860.0, 0.32472286
7870.0, 0.32442522
7880.0, 0.3241282
7890.0, 0.32383177
7900.0, 0.3235359
7910.0, 0.32324064
7920.0, 0.32294595
7930.0, 0.3226518
7940.0, 0.32235828
7950.0, 0.3220653
7960.0, 0.32177287
7970.0, 0.32148102
7980.0, 0.32118973
7990.0, 0.320899
8000.0, 0.32060882
8010.0, 0.32031924
8020.0, 0.32003024
8030.0, 0.31974176
8040.0, 0.3194538
8050.0, 0.31916645
8060.0, 0.31887966
8070.0, 0.31859338
8080.0, 0.31830767
8090.0, 0.3180225
8100.0, 0.31773788
8110.0, 0.3174538
8120.0, 0.31717032
8130.0, 0.31688732
8140.0, 0.31660485
8150.0, 0.31632298
8160.0, 0.31604156
8170.0, 0.31576073
8180.0, 0.3154804
8190.0, 0.31520072
8200.0, 0.31492147
8210.0, 0.3146427
8220.0, 0.31436452
8230.0, 0.31408694
8240.0, 0.31380975
8250.0, 0.3135331
8260.0, 0.31325704
8270.0, 0.31298146
8280.0, 0.31270644
8290.0, 0.3124319
8300.0, 0.3121579
8310.0, 0.3118843
8320.0, 0.31161132
8330.0, 0.3113389
8340.0, 0.31106693
8350.0, 0.31079546
8360.0, 0.3105245
8370.0, 0.31025407
8380.0, 0.3099841
8390.0, 0.30971465
8400.0, 0.30944568
8410.0, 0.30917725
8420.0, 0.3089093
8430.0, 0.30864185
8440.0, 0.30837488
8450.0, 0.30810845
8460.0, 0.30784243
8470.0, 0.30757695
8480.0, 0.30731204
8490.0, 0.30704752
8500.0, 0.3067835
8510.0, 0.30651993
8520.0, 0.3062569
8530.0, 0.30599433
8540.0, 0.30573225
8550.0, 0.30547065
8560.0, 0.3052095
8570.0, 0.30494887
8580.0, 0.3046887
8590.0, 0.30442896
8600.0, 0.30416974
8610.0, 0.30391103
8620.0, 0.3036527
8630.0, 0.30339488
8640.0, 0.30313757
8650.0, 0.30288073
8660.0, 0.30262432
8670.0, 0.3023683
8680.0, 0.30211285
8690.0, 0.30185786
8700.0, 0.30160326
8710.0, 0.3013492
8720.0, 0.30109555
8730.0, 0.30084234
8740.0, 0.3005896
8750.0, 0.30033734
8760.0, 0.30008548
8770.0, 0.2998341
8780.0, 0.2995832
8790.0, 0.29933268
8800.0, 0.29908264
8810.0, 0.29883307
8820.0, 0.29858392
8830.0, 0.29833525
8840.0, 0.29808697
8850.0, 0.29783916
8860.0, 0.29759184
8870.0, 0.29734486
8880.0, 0.29709837
8890.0, 0.29685232
8900.0, 0.29660672
8910.0, 0.29636154
8920.0, 0.29611677
8930.0, 0.29587242
8940.0, 0.29562855
8950.0, 0.29538512
8960.0, 0.29514205
8970.0, 0.29489946
8980.0, 0.29465726
8990.0, 0.29441553
9000.0, 0.2941742
9010.0, 0.29393324
9020.0, 0.29369274
9030.0, 0.2934527
9040.0, 0.2932131
9050.0, 0.29297382
9060.0, 0.292735
9070.0, 0.29249662
9080.0, 0.29225865
9090.0, 0.29202107
9100.0, 0.29178393
9110.0, 0.29154724
9120.0, 0.29131088
9130.0, 0.29107493
9140.0, 0.29083943
9150.0, 0.29060432
9160.0, 0.29036963
9170.0, 0.2901353
9180.0, 0.28990144
9190.0, 0.28966796
9200.0, 0.28943482
9210.0, 0.28920212
9220.0, 0.2889699
9230.0, 0.28873798
9240.0, 0.28850648
9250.0, 0.2882754
9260.0, 0.28804466
9270.0, 0.28781438
9280.0, 0.2875845
9290.0, 0.28735495
9300.0, 0.28712586
9310.0, 0.28689715
9320.0, 0.28666875
9330.0, 0.28644082
9340.0, 0.28621322
9350.0, 0.285986
9360.0, 0.28575924
9370.0, 0.28553283
9380.0, 0.28530678
9390.0, 0.28508115
9400.0, 0.28485584
9410.0, 0.28463098
9420.0, 0.28440645
9430.0, 0.28418234
9440.0, 0.28395858
9450.0, 0.28373522
9460.0, 0.28351218
