Energy (in eV), SEEE yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
9120.0, 1.087886
9130.0, 1.0871994
9140.0, 1.086514
9150.0, 1.0858296
9160.0, 1.0851464
9170.0, 1.0844644
9180.0, 1.0837836
9190.0, 1.0831038
9200.0, 1.0824252
9210.0, 1.0817479
9220.0, 1.0810715
9230.0, 1.080396
9240.0, 1.079722
9250.0, 1.079049
9260.0, 1.0783772
9270.0, 1.0777065
9280.0, 1.0770366
9290.0, 1.0763682
9300.0, 1.0757009
9310.0, 1.0750344
9320.0, 1.0743692
9330.0, 1.073705
9340.0, 1.0730418
9350.0, 1.0723798
9360.0, 1.071719
9370.0, 1.0710592
9380.0, 1.0704004
9390.0, 1.0697427
9400.0, 1.0690863
9410.0, 1.0684305
9420.0, 1.0677762
9430.0, 1.0671228
9440.0, 1.0664705
9450.0, 1.0658191
9460.0, 1.0651689
9470.0, 1.0645198
9480.0, 1.0638717
9490.0, 1.0632247
9500.0, 1.0625788
9510.0, 1.0619335
9520.0, 1.0612898
9530.0, 1.0606469
9540.0, 1.0600051
9550.0, 1.0593642
9560.0, 1.0587243
9570.0, 1.0580857
9580.0, 1.0574479
9590.0, 1.056811
9600.0, 1.0561755
9610.0, 1.0555406
9620.0, 1.054907
9630.0, 1.0542744
9640.0, 1.0536426
9650.0, 1.0530121
9660.0, 1.0523825
9670.0, 1.0517538
9680.0, 1.0511261
9690.0, 1.0504993
9700.0, 1.0498737
9710.0, 1.049249
9720.0, 1.0486253
9730.0, 1.0480028
9740.0, 1.0473809
9750.0, 1.0467602
9760.0, 1.0461404
9770.0, 1.0455216
9780.0, 1.0449039
9790.0, 1.044287
9800.0, 1.0436711
9810.0, 1.0430561
9820.0, 1.0424422
9830.0, 1.0418292
9840.0, 1.0412172
9850.0, 1.040606
9860.0, 1.039996
9870.0, 1.0393867
9880.0, 1.0387785
9890.0, 1.0381713
9900.0, 1.037565
9910.0, 1.0369595
9920.0, 1.036355
9930.0, 1.0357515
9940.0, 1.035149
9950.0, 1.0345473
9960.0, 1.0339466
9970.0, 1.0333468
9980.0, 1.032748
9990.0, 1.03215
10000.0, 1.0315528
10010.0, 1.0309567
10020.0, 1.0303615
10030.0, 1.0297672
10040.0, 1.0291739
10050.0, 1.0285814
10060.0, 1.0279899
10070.0, 1.0273993
10080.0, 1.0268095
10090.0, 1.0262206
10100.0, 1.0256326
10110.0, 1.0250455
10120.0, 1.0244594
10130.0, 1.0238742
10140.0, 1.0232897
10150.0, 1.0227063
10160.0, 1.0221236
10170.0, 1.021542
10180.0, 1.0209609
10190.0, 1.020381
10200.0, 1.0198019
10210.0, 1.0192236
10220.0, 1.0186462
10230.0, 1.0180699
10240.0, 1.0174942
10250.0, 1.0169194
10260.0, 1.0163454
10270.0, 1.0157725
10280.0, 1.0152003
10290.0, 1.014629
10300.0, 1.0140584
10310.0, 1.0134889
10320.0, 1.0129201
10330.0, 1.0123521
10340.0, 1.0117853
10350.0, 1.0112189
10360.0, 1.0106535
10370.0, 1.0100889
10380.0, 1.0095253
10390.0, 1.0089624
10400.0, 1.0084003
10410.0, 1.0078391
10420.0, 1.0072789
10430.0, 1.0067192
10440.0, 1.0061605
10450.0, 1.0056026
10460.0, 1.0050455
10470.0, 1.0044894
10480.0, 1.0039338
10490.0, 1.0033793
10500.0, 1.0028254
10510.0, 1.0022726
10520.0, 1.0017203
10530.0, 1.0011688
10540.0, 1.0006183
10550.0, 1.0000685
10560.0, 0.9995194
10570.0, 0.9989715
10580.0, 0.99842423
10590.0, 0.99787754
10600.0, 0.99733186
10610.0, 0.99678665
10620.0, 0.9962427
10630.0, 0.99569935
10640.0, 0.99515647
10650.0, 0.9946149
10660.0, 0.99407375
10670.0, 0.99353343
10680.0, 0.99299395
10690.0, 0.99245536
10700.0, 0.9919175
10710.0, 0.9913802
10720.0, 0.99084395
10730.0, 0.9903082
10740.0, 0.9897734
10750.0, 0.98923934
10760.0, 0.9887061
10770.0, 0.9881735
10780.0, 0.9876419
10790.0, 0.98711073
10800.0, 0.9865806
10810.0, 0.98605096
10820.0, 0.98552245
10830.0, 0.9849943
10840.0, 0.98446715
10850.0, 0.9839408
10860.0, 0.98341495
10870.0, 0.9828899
10880.0, 0.9823657
10890.0, 0.9818422
10900.0, 0.9813194
10910.0, 0.9807975
10920.0, 0.98027617
10930.0, 0.9797555
10940.0, 0.9792358
10950.0, 0.9787167
10960.0, 0.9781984
10970.0, 0.9776808
10980.0, 0.9771639
10990.0, 0.97664773
11000.0, 0.97613245
11010.0, 0.9756176
11020.0, 0.9751037
11030.0, 0.9745904
11040.0, 0.9740778
11050.0, 0.973566
11060.0, 0.97305495
11070.0, 0.9725445
11080.0, 0.9720349
11090.0, 0.97152567
11100.0, 0.97101766
11110.0, 0.9705101
11120.0, 0.97000307
11130.0, 0.969497
11140.0, 0.9689916
11150.0, 0.9684867
11160.0, 0.9679826
11170.0, 0.9674793
11180.0, 0.9669767
11190.0, 0.9664746
11200.0, 0.96597344
11210.0, 0.9654729
11220.0, 0.964973
11230.0, 0.9644737
11240.0, 0.9639753
11250.0, 0.9634775
11260.0, 0.9629802
11270.0, 0.96248376
11280.0, 0.9619879
11290.0, 0.9614931
11300.0, 0.9609984
11310.0, 0.96050483
11320.0, 0.9600117
11330.0, 0.9595192
11340.0, 0.9590274
11350.0, 0.95853645
11360.0, 0.958046
11370.0, 0.95755625
11380.0, 0.95706725
11390.0, 0.9565789
11400.0, 0.9560912
11410.0, 0.9556039
11420.0, 0.9551176
11430.0, 0.95463187
11440.0, 0.9541467
11450.0, 0.9536622
11460.0, 0.95317847
11470.0, 0.9526954
11480.0, 0.952213
