Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 60.0 degree
   X,       Y
8580.0, 0.2956862
8590.0, 0.29562545
8600.0, 0.2955648
8610.0, 0.29550427
8620.0, 0.29544383
8630.0, 0.29538354
8640.0, 0.29532334
8650.0, 0.29526323
8660.0, 0.29520324
8670.0, 0.29514337
8680.0, 0.29508358
8690.0, 0.29502392
8700.0, 0.29496437
8710.0, 0.29490492
8720.0, 0.29484558
8730.0, 0.29478633
8740.0, 0.2947272
8750.0, 0.29466817
8760.0, 0.29460925
8770.0, 0.29455045
8780.0, 0.2944917
8790.0, 0.29443312
8800.0, 0.29437461
8810.0, 0.29431623
8820.0, 0.29425794
8830.0, 0.29419976
8840.0, 0.29414168
8850.0, 0.2940837
8860.0, 0.29402584
8870.0, 0.29396808
8880.0, 0.29391044
8890.0, 0.29385287
8900.0, 0.2937954
8910.0, 0.29373807
8920.0, 0.29368085
8930.0, 0.2936237
8940.0, 0.29356664
8950.0, 0.29350972
8960.0, 0.2934529
8970.0, 0.29339615
8980.0, 0.29333952
8990.0, 0.293283
9000.0, 0.29322657
9010.0, 0.29317024
9020.0, 0.29311404
9030.0, 0.29305792
9040.0, 0.2930019
9050.0, 0.29294598
9060.0, 0.29289016
9070.0, 0.29283446
9080.0, 0.29277885
9090.0, 0.29272333
9100.0, 0.29266793
9110.0, 0.2926126
9120.0, 0.2925574
9130.0, 0.29250228
9140.0, 0.29244727
9150.0, 0.29239237
9160.0, 0.29233754
9170.0, 0.29228285
9180.0, 0.29222822
9190.0, 0.2921737
9200.0, 0.2921193
9210.0, 0.29206496
9220.0, 0.29201075
9230.0, 0.29195663
9240.0, 0.2919026
9250.0, 0.2918487
9260.0, 0.29179484
9270.0, 0.29174113
9280.0, 0.2916875
9290.0, 0.29163396
9300.0, 0.29158053
9310.0, 0.29152718
9320.0, 0.29147393
9330.0, 0.2914208
9340.0, 0.29136774
9350.0, 0.29131478
9360.0, 0.2912619
9370.0, 0.29120916
9380.0, 0.2911565
9390.0, 0.29110393
9400.0, 0.29105145
9410.0, 0.29099905
9420.0, 0.29094678
9430.0, 0.2908946
9440.0, 0.2908425
9450.0, 0.2907905
9460.0, 0.2907386
9470.0, 0.2906868
9480.0, 0.29063508
9490.0, 0.29058343
9500.0, 0.2905319
9510.0, 0.2904805
9520.0, 0.29042915
9530.0, 0.29037791
9540.0, 0.29032674
9550.0, 0.2902757
9560.0, 0.29022473
9570.0, 0.29017383
9580.0, 0.29012305
9590.0, 0.29007238
9600.0, 0.29002178
9610.0, 0.28997126
9620.0, 0.28992087
9630.0, 0.28987056
9640.0, 0.2898203
9650.0, 0.28977016
9660.0, 0.28972012
9670.0, 0.28967017
9680.0, 0.2896203
9690.0, 0.28957054
9700.0, 0.28952086
9710.0, 0.28947127
9720.0, 0.28942177
9730.0, 0.28937235
9740.0, 0.28932306
9750.0, 0.28927383
9760.0, 0.28922468
9770.0, 0.28917563
9780.0, 0.28912666
9790.0, 0.28907782
9800.0, 0.28902903
9810.0, 0.28898033
9820.0, 0.28893173
9830.0, 0.28888324
9840.0, 0.2888348
9850.0, 0.28878647
9860.0, 0.28873822
9870.0, 0.28869006
9880.0, 0.288642
9890.0, 0.288594
9900.0, 0.28854612
9910.0, 0.2884983
9920.0, 0.28845057
9930.0, 0.28840297
9940.0, 0.2883554
9950.0, 0.28830796
9960.0, 0.28826058
9970.0, 0.2882133
9980.0, 0.2881661
9990.0, 0.288119
10000.0, 0.288072
10010.0, 0.28802502
10020.0, 0.28797817
10030.0, 0.28793144
10040.0, 0.28788474
10050.0, 0.28783816
10060.0, 0.28779164
10070.0, 0.28774524
10080.0, 0.2876989
10090.0, 0.28765264
10100.0, 0.28760648
10110.0, 0.28756037
10120.0, 0.2875144
10130.0, 0.2874685
10140.0, 0.28742266
10150.0, 0.2873769
10160.0, 0.28733125
10170.0, 0.2872857
10180.0, 0.28724018
10190.0, 0.28719476
10200.0, 0.28714946
10210.0, 0.28710422
10220.0, 0.28705904
10230.0, 0.28701398
10240.0, 0.28696898
10250.0, 0.28692406
10260.0, 0.28687924
10270.0, 0.2868345
10280.0, 0.28678983
10290.0, 0.28674525
10300.0, 0.2867008
10310.0, 0.28665635
10320.0, 0.28661203
10330.0, 0.28656778
10340.0, 0.2865236
10350.0, 0.2864795
10360.0, 0.2864355
10370.0, 0.2863916
10380.0, 0.28634775
10390.0, 0.28630397
10400.0, 0.28626028
10410.0, 0.2862167
10420.0, 0.28617316
10430.0, 0.28612974
10440.0, 0.28608635
10450.0, 0.28604308
10460.0, 0.2859999
10470.0, 0.28595677
10480.0, 0.28591374
10490.0, 0.28587076
10500.0, 0.28582788
10510.0, 0.28578508
10520.0, 0.28574234
10530.0, 0.28569973
10540.0, 0.28565714
10550.0, 0.28561467
10560.0, 0.28557226
10570.0, 0.2855299
10580.0, 0.28548768
10590.0, 0.28544548
10600.0, 0.2854034
10610.0, 0.28536138
10620.0, 0.28531945
10630.0, 0.28527758
10640.0, 0.2852358
10650.0, 0.28519407
10660.0, 0.28515247
10670.0, 0.2851109
10680.0, 0.28506944
10690.0, 0.285028
10700.0, 0.2849867
10710.0, 0.28494546
10720.0, 0.28490427
10730.0, 0.28486317
10740.0, 0.28482217
10750.0, 0.28478122
10760.0, 0.28474036
10770.0, 0.2846996
10780.0, 0.28465888
10790.0, 0.28461823
10800.0, 0.28457767
10810.0, 0.28453717
10820.0, 0.28449675
10830.0, 0.28445643
10840.0, 0.28441617
10850.0, 0.28437597
10860.0, 0.28433585
10870.0, 0.28429583
10880.0, 0.28425586
10890.0, 0.28421596
10900.0, 0.28417617
10910.0, 0.2841364
10920.0, 0.28409675
10930.0, 0.28405714
10940.0, 0.28401762
10950.0, 0.2839782
10960.0, 0.2839388
10970.0, 0.28389952
10980.0, 0.2838603
10990.0, 0.28382114
11000.0, 0.28378204
11010.0, 0.28374305
11020.0, 0.2837041
11030.0, 0.28366524
11040.0, 0.28362644
11050.0, 0.28358772
11060.0, 0.2835491
11070.0, 0.2835105
11080.0, 0.283472
11090.0, 0.28343356
11100.0, 0.2833952
11110.0, 0.28335693
11120.0, 0.2833187
11130.0, 0.28328055
11140.0, 0.2832425
11150.0, 0.28320447
11160.0, 0.28316656
11170.0, 0.28312868
11180.0, 0.2830909
11190.0, 0.2830532
11200.0, 0.28301552
11210.0, 0.28297794
11220.0, 0.28294042
11230.0, 0.282903
11240.0, 0.2828656
11250.0, 0.28282833
11260.0, 0.28279108
11270.0, 0.2827539
11280.0, 0.28271684
11290.0, 0.28267983
11300.0, 0.28264287
11310.0, 0.28260598
11320.0, 0.28256917
11330.0, 0.28253242
11340.0, 0.28249574
11350.0, 0.2824591
11360.0, 0.28242257
11370.0, 0.2823861
11380.0, 0.2823497
11390.0, 0.28231335
11400.0, 0.2822771
11410.0, 0.2822409
11420.0, 0.28220475
11430.0, 0.2821687
11440.0, 0.2821327
11450.0, 0.28209677
11460.0, 0.2820609
11470.0, 0.2820251
11480.0, 0.28198937
11490.0, 0.28195372
11500.0, 0.2819181
11510.0, 0.28188258
11520.0, 0.28184712
11530.0, 0.2818117
11540.0, 0.28177637
11550.0, 0.2817411
11560.0, 0.28170592
11570.0, 0.28167078
11580.0, 0.28163573
