Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
8890.0, 0.4900061
8900.0, 0.48996052
8910.0, 0.48991504
8920.0, 0.48986965
8930.0, 0.48982435
8940.0, 0.48977914
8950.0, 0.489734
8960.0, 0.48968896
8970.0, 0.48964396
8980.0, 0.48959908
8990.0, 0.48955426
9000.0, 0.48950955
9010.0, 0.4894649
9020.0, 0.48942032
9030.0, 0.48937586
9040.0, 0.48933145
9050.0, 0.4892871
9060.0, 0.48924288
9070.0, 0.4891987
9080.0, 0.48915464
9090.0, 0.48911065
9100.0, 0.48906672
9110.0, 0.48902288
9120.0, 0.48897913
9130.0, 0.48893544
9140.0, 0.48889184
9150.0, 0.48884833
9160.0, 0.48880488
9170.0, 0.4887615
9180.0, 0.48871824
9190.0, 0.48867503
9200.0, 0.4886319
9210.0, 0.48858887
9220.0, 0.4885459
9230.0, 0.488503
9240.0, 0.4884602
9250.0, 0.48841748
9260.0, 0.48837483
9270.0, 0.48833224
9280.0, 0.48828974
9290.0, 0.48824733
9300.0, 0.488205
9310.0, 0.48816273
9320.0, 0.48812053
9330.0, 0.48807842
9340.0, 0.4880364
9350.0, 0.48799443
9360.0, 0.48795256
9370.0, 0.48791075
9380.0, 0.48786905
9390.0, 0.4878274
9400.0, 0.48778582
9410.0, 0.48774433
9420.0, 0.4877029
9430.0, 0.48766157
9440.0, 0.4876203
9450.0, 0.4875791
9460.0, 0.48753798
9470.0, 0.48749694
9480.0, 0.487456
9490.0, 0.4874151
9500.0, 0.48737428
9510.0, 0.48733354
9520.0, 0.4872929
9530.0, 0.4872523
9540.0, 0.48721176
9550.0, 0.48717132
9560.0, 0.48713097
9570.0, 0.48709068
9580.0, 0.48705047
9590.0, 0.4870103
9600.0, 0.48697025
9610.0, 0.48693025
9620.0, 0.48689032
9630.0, 0.48685047
9640.0, 0.4868107
9650.0, 0.486771
9660.0, 0.48673135
9670.0, 0.4866918
9680.0, 0.4866523
9690.0, 0.48661292
9700.0, 0.48657358
9710.0, 0.48653433
9720.0, 0.4864951
9730.0, 0.486456
9740.0, 0.48641694
9750.0, 0.48637798
9760.0, 0.48633906
9770.0, 0.48630023
9780.0, 0.4862615
9790.0, 0.48622277
9800.0, 0.48618415
9810.0, 0.48614562
9820.0, 0.48610714
9830.0, 0.48606873
9840.0, 0.4860304
9850.0, 0.48599213
9860.0, 0.48595393
9870.0, 0.4859158
9880.0, 0.48587778
9890.0, 0.48583978
9900.0, 0.48580188
9910.0, 0.48576403
9920.0, 0.48572627
9930.0, 0.48568857
9940.0, 0.48565093
9950.0, 0.48561338
9960.0, 0.48557588
9970.0, 0.48553845
9980.0, 0.48550108
9990.0, 0.4854638
10000.0, 0.4854266
10010.0, 0.48538944
10020.0, 0.48535237
10030.0, 0.48531535
10040.0, 0.4852784
10050.0, 0.48524153
10060.0, 0.48520473
10070.0, 0.485168
10080.0, 0.48513132
10090.0, 0.48509473
10100.0, 0.4850582
10110.0, 0.48502174
10120.0, 0.48498532
10130.0, 0.484949
10140.0, 0.48491275
10150.0, 0.48487654
10160.0, 0.48484042
10170.0, 0.48480436
10180.0, 0.48476836
10190.0, 0.48473245
10200.0, 0.48469657
10210.0, 0.48466077
10220.0, 0.48462504
10230.0, 0.4845894
10240.0, 0.48455378
10250.0, 0.48451826
10260.0, 0.4844828
10270.0, 0.48444742
10280.0, 0.48441207
10290.0, 0.48437682
10300.0, 0.48434162
10310.0, 0.48430648
10320.0, 0.4842714
10330.0, 0.48423642
10340.0, 0.48420146
10350.0, 0.4841666
10360.0, 0.48413178
10370.0, 0.48409703
10380.0, 0.48406234
10390.0, 0.48402774
10400.0, 0.48399317
10410.0, 0.4839587
10420.0, 0.48392427
10430.0, 0.48388994
10440.0, 0.48385563
10450.0, 0.4838214
10460.0, 0.48378724
10470.0, 0.48375311
10480.0, 0.48371908
10490.0, 0.4836851
10500.0, 0.4836512
10510.0, 0.48361734
10520.0, 0.48358357
10530.0, 0.48354983
10540.0, 0.4835162
10550.0, 0.48348257
10560.0, 0.48344904
10570.0, 0.48341557
10580.0, 0.48338217
