Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at isotropic incidence
   X,       Y
9400.0, 0.40628123
9410.0, 0.4062508
9420.0, 0.4062205
9430.0, 0.4061902
9440.0, 0.40616
9450.0, 0.40612978
9460.0, 0.4060997
9470.0, 0.40606964
9480.0, 0.40603963
9490.0, 0.40600967
9500.0, 0.4059798
9510.0, 0.40594998
9520.0, 0.40592027
9530.0, 0.40589055
9540.0, 0.4058609
9550.0, 0.40583134
9560.0, 0.4058018
9570.0, 0.40577236
9580.0, 0.4057429
9590.0, 0.40571356
9600.0, 0.40568426
9610.0, 0.405655
9620.0, 0.40562585
9630.0, 0.40559673
9640.0, 0.40556768
9650.0, 0.40553862
9660.0, 0.4055097
9670.0, 0.40548077
9680.0, 0.40545195
9690.0, 0.4054232
9700.0, 0.40539443
9710.0, 0.40536577
9720.0, 0.40533715
9730.0, 0.40530857
9740.0, 0.40528008
9750.0, 0.40525165
9760.0, 0.40522328
9770.0, 0.40519494
9780.0, 0.40516666
9790.0, 0.40513843
9800.0, 0.40511024
9810.0, 0.40508214
9820.0, 0.40505412
9830.0, 0.4050261
9840.0, 0.40499812
9850.0, 0.40497026
9860.0, 0.40494242
9870.0, 0.40491462
9880.0, 0.40488687
9890.0, 0.40485922
9900.0, 0.40483162
9910.0, 0.404804
9920.0, 0.40477648
9930.0, 0.40474904
9940.0, 0.40472168
9950.0, 0.4046943
9960.0, 0.40466702
9970.0, 0.40463975
9980.0, 0.40461254
9990.0, 0.40458542
10000.0, 0.40455833
10010.0, 0.4045313
10020.0, 0.40450433
10030.0, 0.40447742
10040.0, 0.40445057
10050.0, 0.40442374
10060.0, 0.40439698
10070.0, 0.40437025
10080.0, 0.40434355
10090.0, 0.40431696
10100.0, 0.40429038
10110.0, 0.40426388
10120.0, 0.40423745
10130.0, 0.40421107
10140.0, 0.40418473
10150.0, 0.4041584
10160.0, 0.40413216
10170.0, 0.40410596
10180.0, 0.40407982
10190.0, 0.40405375
10200.0, 0.40402773
10210.0, 0.4040017
10220.0, 0.40397575
10230.0, 0.40394986
10240.0, 0.40392408
10250.0, 0.40389827
10260.0, 0.40387258
10270.0, 0.40384683
10280.0, 0.40382123
10290.0, 0.40379563
10300.0, 0.4037701
10310.0, 0.4037446
10320.0, 0.4037192
10330.0, 0.4036938
10340.0, 0.40366846
10350.0, 0.4036432
10360.0, 0.40361798
10370.0, 0.40359277
10380.0, 0.4035676
10390.0, 0.40354255
10400.0, 0.40351748
10410.0, 0.40349254
10420.0, 0.4034676
10430.0, 0.4034427
10440.0, 0.4034179
10450.0, 0.4033931
10460.0, 0.40336835
10470.0, 0.40334362
10480.0, 0.40331897
10490.0, 0.40329438
10500.0, 0.4032699
10510.0, 0.40324536
10520.0, 0.4032209
10530.0, 0.40319645
10540.0, 0.40317214
10550.0, 0.40314785
10560.0, 0.40312356
10570.0, 0.40309936
10580.0, 0.40307516
10590.0, 0.40305105
10600.0, 0.403027
10610.0, 0.40300298
10620.0, 0.40297902
10630.0, 0.40295503
10640.0, 0.40293118
10650.0, 0.40290737
10660.0, 0.4028836
10670.0, 0.40285984
10680.0, 0.4028361
10690.0, 0.40281245
10700.0, 0.40278888
10710.0, 0.40276533
10720.0, 0.40274182
10730.0, 0.40271834
10740.0, 0.4026949
10750.0, 0.4026716
10760.0, 0.40264824
10770.0, 0.402625
10780.0, 0.40260172
10790.0, 0.40257853
10800.0, 0.4025554
10810.0, 0.40253228
10820.0, 0.40250924
10830.0, 0.4024863
10840.0, 0.40246332
10850.0, 0.40244037
10860.0, 0.4024175
10870.0, 0.4023947
10880.0, 0.4023719
10890.0, 0.4023492
10900.0, 0.40232646
10910.0, 0.40230384
10920.0, 0.40228122
10930.0, 0.4022587
10940.0, 0.40223616
10950.0, 0.4022137
10960.0, 0.4021913
10970.0, 0.40216893
10980.0, 0.4021466
10990.0, 0.40212426
11000.0, 0.40210202
11010.0, 0.40207982
11020.0, 0.40205768
11030.0, 0.40203553
11040.0, 0.4020135
11050.0, 0.40199146
11060.0, 0.40196946
11070.0, 0.40194753
11080.0, 0.40192562
11090.0, 0.40190378
11100.0, 0.401882
11110.0, 0.4018602
11120.0, 0.40183845
11130.0, 0.40181682
11140.0, 0.40179518
11150.0, 0.40177354
11160.0, 0.401752
11170.0, 0.40173048
11180.0, 0.40170902
11190.0, 0.40168756
11200.0, 0.4016662
11210.0, 0.4016448
11220.0, 0.40162355
11230.0, 0.40160227
11240.0, 0.40158108
11250.0, 0.4015599
11260.0, 0.40153873
11270.0, 0.40151766
11280.0, 0.4014966
11290.0, 0.4014756
11300.0, 0.4014546
11310.0, 0.40143368
11320.0, 0.40141279
11330.0, 0.40139195
11340.0, 0.40137115
11350.0, 0.40135038
11360.0, 0.40132967
11370.0, 0.40130895
11380.0, 0.40128833
11390.0, 0.40126777
11400.0, 0.40124717
11410.0, 0.40122667
11420.0, 0.40120617
11430.0, 0.40118578
11440.0, 0.40116534
11450.0, 0.40114495
11460.0, 0.40112466
11470.0, 0.4011044
11480.0, 0.40108415
11490.0, 0.40106395
11500.0, 0.4010438
11510.0, 0.4010237
11520.0, 0.40100357
11530.0, 0.40098354
11540.0, 0.40096354
11550.0, 0.4009436
11560.0, 0.4009237
11570.0, 0.40090382
11580.0, 0.40088397
11590.0, 0.40086418
