Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 50.000004 degree
   X,       Y
10330.0, 0.25591835
10340.0, 0.25588366
10350.0, 0.255849
10360.0, 0.25581446
10370.0, 0.25577995
10380.0, 0.2557455
10390.0, 0.25571114
10400.0, 0.25567684
10410.0, 0.2556426
10420.0, 0.25560844
10430.0, 0.25557432
10440.0, 0.25554028
10450.0, 0.2555063
10460.0, 0.2554724
10470.0, 0.25543854
10480.0, 0.25540477
10490.0, 0.25537106
10500.0, 0.25533742
10510.0, 0.25530383
10520.0, 0.2552703
10530.0, 0.25523683
10540.0, 0.25520346
10550.0, 0.25517014
10560.0, 0.25513688
10570.0, 0.25510368
10580.0, 0.25507054
10590.0, 0.25503746
10600.0, 0.25500447
10610.0, 0.2549715
10620.0, 0.25493863
10630.0, 0.25490582
10640.0, 0.25487307
10650.0, 0.25484037
10660.0, 0.25480774
10670.0, 0.25477517
10680.0, 0.25474268
10690.0, 0.25471023
10700.0, 0.25467786
10710.0, 0.25464556
10720.0, 0.25461328
10730.0, 0.2545811
10740.0, 0.25454897
10750.0, 0.2545169
10760.0, 0.25448492
10770.0, 0.25445297
10780.0, 0.2544211
10790.0, 0.25438926
10800.0, 0.25435752
10810.0, 0.2543258
10820.0, 0.2542942
10830.0, 0.2542626
10840.0, 0.2542311
10850.0, 0.25419965
10860.0, 0.25416824
10870.0, 0.25413692
10880.0, 0.25410563
10890.0, 0.25407442
10900.0, 0.25404328
10910.0, 0.2540122
10920.0, 0.25398117
10930.0, 0.25395018
10940.0, 0.25391927
10950.0, 0.25388843
10960.0, 0.25385764
10970.0, 0.25382692
10980.0, 0.25379622
10990.0, 0.2537656
11000.0, 0.25373507
11010.0, 0.25370458
11020.0, 0.25367415
11030.0, 0.25364375
11040.0, 0.25361344
11050.0, 0.2535832
11060.0, 0.25355297
11070.0, 0.25352284
11080.0, 0.25349274
11090.0, 0.25346273
11100.0, 0.25343275
11110.0, 0.25340283
11120.0, 0.253373
11130.0, 0.2533432
11140.0, 0.25331345
11150.0, 0.25328377
11160.0, 0.25325415
11170.0, 0.25322458
11180.0, 0.25319508
11190.0, 0.25316563
11200.0, 0.25313622
11210.0, 0.2531069
11220.0, 0.2530776
11230.0, 0.2530484
11240.0, 0.2530192
11250.0, 0.2529901
11260.0, 0.25296107
11270.0, 0.25293204
11280.0, 0.2529031
11290.0, 0.25287423
11300.0, 0.2528454
11310.0, 0.25281662
11320.0, 0.2527879
11330.0, 0.25275925
11340.0, 0.25273064
11350.0, 0.25270206
11360.0, 0.25267357
11370.0, 0.25264513
11380.0, 0.25261673
11390.0, 0.25258842
11400.0, 0.25256014
11410.0, 0.25253192
11420.0, 0.25250375
11430.0, 0.25247562
11440.0, 0.25244758
11450.0, 0.25241956
11460.0, 0.2523916
11470.0, 0.2523637
11480.0, 0.25233588
11490.0, 0.25230807
11500.0, 0.25228035
11510.0, 0.25225267
11520.0, 0.25222504
11530.0, 0.25219747
11540.0, 0.25216994
11550.0, 0.2521425
11560.0, 0.25211507
11570.0, 0.2520877
