Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
8770.0, 0.40756947
8780.0, 0.40750295
8790.0, 0.40743655
8800.0, 0.4073703
8810.0, 0.4073041
8820.0, 0.40723804
8830.0, 0.4071721
8840.0, 0.40710628
8850.0, 0.40704054
8860.0, 0.4069749
8870.0, 0.40690944
8880.0, 0.40684402
8890.0, 0.40677875
8900.0, 0.40671358
8910.0, 0.40664852
8920.0, 0.40658358
8930.0, 0.40651873
8940.0, 0.406454
8950.0, 0.4063894
8960.0, 0.40632486
8970.0, 0.40626046
8980.0, 0.40619618
8990.0, 0.40613198
9000.0, 0.4060679
9010.0, 0.40600392
9020.0, 0.4059401
9030.0, 0.40587634
9040.0, 0.40581268
9050.0, 0.40574914
9060.0, 0.40568572
9070.0, 0.4056224
9080.0, 0.40555918
9090.0, 0.4054961
9100.0, 0.4054331
9110.0, 0.40537018
9120.0, 0.4053074
9130.0, 0.40524474
9140.0, 0.40518215
9150.0, 0.4051197
9160.0, 0.40505734
9170.0, 0.40499508
9180.0, 0.40493295
9190.0, 0.4048709
9200.0, 0.40480897
9210.0, 0.40474716
9220.0, 0.4046854
9230.0, 0.4046238
9240.0, 0.4045623
9250.0, 0.4045009
9260.0, 0.40443957
9270.0, 0.40437838
9280.0, 0.4043173
9290.0, 0.4042563
9300.0, 0.40419543
9310.0, 0.40413466
9320.0, 0.40407395
9330.0, 0.4040134
9340.0, 0.40395293
9350.0, 0.40389255
9360.0, 0.4038323
9370.0, 0.40377212
9380.0, 0.4037121
9390.0, 0.40365213
9400.0, 0.40359226
9410.0, 0.40353253
9420.0, 0.40347287
9430.0, 0.40341333
9440.0, 0.4033539
9450.0, 0.40329456
9460.0, 0.40323532
9470.0, 0.4031762
9480.0, 0.40311715
9490.0, 0.4030582
9500.0, 0.4029994
9510.0, 0.40294066
9520.0, 0.40288204
9530.0, 0.4028235
9540.0, 0.40276507
9550.0, 0.40270674
9560.0, 0.4026485
9570.0, 0.4025904
9580.0, 0.40253234
9590.0, 0.40247443
9600.0, 0.4024166
9610.0, 0.40235886
9620.0, 0.40230125
9630.0, 0.4022437
9640.0, 0.40218627
9650.0, 0.40212896
9660.0, 0.4020717
9670.0, 0.40201458
9680.0, 0.40195754
9690.0, 0.40190062
9700.0, 0.40184376
9710.0, 0.40178704
9720.0, 0.4017304
9730.0, 0.40167385
9740.0, 0.4016174
9750.0, 0.40156105
9760.0, 0.40150478
9770.0, 0.40144864
9780.0, 0.40139258
9790.0, 0.4013366
9800.0, 0.40128076
9810.0, 0.401225
9820.0, 0.40116933
9830.0, 0.40111375
9840.0, 0.4010583
9850.0, 0.40100288
9860.0, 0.4009476
9870.0, 0.40089244
9880.0, 0.40083733
9890.0, 0.40078232
9900.0, 0.40072742
9910.0, 0.4006726
9920.0, 0.4006179
9930.0, 0.40056327
9940.0, 0.40050876
9950.0, 0.4004543
9960.0, 0.4004
9970.0, 0.40034574
9980.0, 0.40029162
9990.0, 0.40023756
10000.0, 0.40018362
10010.0, 0.40012974
10020.0, 0.40007597
10030.0, 0.4000223
10040.0, 0.3999687
10050.0, 0.39991522
10060.0, 0.39986184
10070.0, 0.39980853
10080.0, 0.39975533
10090.0, 0.39970222
10100.0, 0.39964917
10110.0, 0.39959624
10120.0, 0.3995434
10130.0, 0.39949065
10140.0, 0.399438
10150.0, 0.39938545
10160.0, 0.39933297
10170.0, 0.39928058
10180.0, 0.3992283
10190.0, 0.3991761
10200.0, 0.399124
10210.0, 0.39907196
10220.0, 0.39902005
10230.0, 0.39896822
10240.0, 0.39891648
10250.0, 0.39886484
10260.0, 0.39881328
10270.0, 0.3987618
10280.0, 0.3987104
10290.0, 0.3986591
10300.0, 0.3986079
10310.0, 0.3985568
10320.0, 0.39850578
10330.0, 0.39845484
10340.0, 0.398404
10350.0, 0.39835325
10360.0, 0.39830258
10370.0, 0.398252
10380.0, 0.39820153
10390.0, 0.3981511
10400.0, 0.3981008
10410.0, 0.39805058
10420.0, 0.39800045
10430.0, 0.3979504
10440.0, 0.39790043
10450.0, 0.39785057
10460.0, 0.39780077
10470.0, 0.3977511
10480.0, 0.39770147
10490.0, 0.39765194
10500.0, 0.39760253
10510.0, 0.39755318
