Energy (in eV), backscattering yield of material te2k-NASCAP at isotropic incidence
   X,       Y
10110.0, 0.23863904
10120.0, 0.23860258
10130.0, 0.23856619
10140.0, 0.23852988
10150.0, 0.23849362
10160.0, 0.23845743
10170.0, 0.2384213
10180.0, 0.23838526
10190.0, 0.23834926
10200.0, 0.23831336
10210.0, 0.23827752
10220.0, 0.23824175
10230.0, 0.23820604
10240.0, 0.2381704
10250.0, 0.23813482
10260.0, 0.2380993
10270.0, 0.23806389
10280.0, 0.23802851
10290.0, 0.23799321
10300.0, 0.23795797
10310.0, 0.23792279
10320.0, 0.23788768
10330.0, 0.23785265
10340.0, 0.23781767
10350.0, 0.23778276
10360.0, 0.23774795
10370.0, 0.23771317
10380.0, 0.23767845
10390.0, 0.23764382
10400.0, 0.23760924
10410.0, 0.23757473
10420.0, 0.23754029
10430.0, 0.23750591
10440.0, 0.2374716
10450.0, 0.23743735
10460.0, 0.23740315
10470.0, 0.23736905
10480.0, 0.23733498
10490.0, 0.23730099
10500.0, 0.23726706
10510.0, 0.23723322
10520.0, 0.23719943
10530.0, 0.23716567
10540.0, 0.23713201
10550.0, 0.23709843
10560.0, 0.23706488
10570.0, 0.23703142
10580.0, 0.23699798
10590.0, 0.23696463
10600.0, 0.23693137
10610.0, 0.23689814
10620.0, 0.23686497
10630.0, 0.23683187
10640.0, 0.23679884
10650.0, 0.23676588
10660.0, 0.23673297
10670.0, 0.23670013
10680.0, 0.23666734
10690.0, 0.23663463
10700.0, 0.23660196
10710.0, 0.23656937
10720.0, 0.23653683
10730.0, 0.23650436
10740.0, 0.23647197
10750.0, 0.2364396
10760.0, 0.23640732
10770.0, 0.23637508
10780.0, 0.23634292
10790.0, 0.23631081
10800.0, 0.23627879
10810.0, 0.23624681
10820.0, 0.23621488
10830.0, 0.23618302
10840.0, 0.23615122
10850.0, 0.2361195
10860.0, 0.23608781
10870.0, 0.23605621
10880.0, 0.23602463
10890.0, 0.23599313
10900.0, 0.2359617
10910.0, 0.23593034
10920.0, 0.23589902
10930.0, 0.23586777
10940.0, 0.23583655
10950.0, 0.23580542
10960.0, 0.23577434
10970.0, 0.23574333
10980.0, 0.23571235
10990.0, 0.23568146
11000.0, 0.2356506
11010.0, 0.23561984
11020.0, 0.2355891
11030.0, 0.23555844
11040.0, 0.23552784
11050.0, 0.23549728
11060.0, 0.2354668
11070.0, 0.23543637
11080.0, 0.23540598
11090.0, 0.23537566
11100.0, 0.2353454
11110.0, 0.2353152
11120.0, 0.23528507
11130.0, 0.23525497
11140.0, 0.23522495
11150.0, 0.23519498
11160.0, 0.23516507
11170.0, 0.23513521
11180.0, 0.23510541
11190.0, 0.23507567
11200.0, 0.23504598
11210.0, 0.23501635
11220.0, 0.23498677
11230.0, 0.23495726
11240.0, 0.2349278
11250.0, 0.2348984
11260.0, 0.23486906
11270.0, 0.23483975
11280.0, 0.23481052
11290.0, 0.23478135
11300.0, 0.23475222
11310.0, 0.23472317
11320.0, 0.23469414
11330.0, 0.23466519
11340.0, 0.23463628
11350.0, 0.23460743
11360.0, 0.23457864
11370.0, 0.23454991
11380.0, 0.23452123
11390.0, 0.2344926
11400.0, 0.23446403
11410.0, 0.23443553
11420.0, 0.23440707
11430.0, 0.23437865
11440.0, 0.2343503
11450.0, 0.23432198
11460.0, 0.23429374
11470.0, 0.23426555
11480.0, 0.23423743
11490.0, 0.23420934
11500.0, 0.23418131
11510.0, 0.23415333
11520.0, 0.2341254
11530.0, 0.23409754
11540.0, 0.23406973
11550.0, 0.23404196
11560.0, 0.23401426
11570.0, 0.2339866
11580.0, 0.233959
