Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 80.0 degree
   X,       Y
8690.0, 0.66324556
8700.0, 0.66320246
8710.0, 0.6631595
8720.0, 0.6631166
8730.0, 0.6630737
8740.0, 0.6630309
8750.0, 0.66298825
8760.0, 0.66294557
8770.0, 0.662903
8780.0, 0.6628606
8790.0, 0.66281813
8800.0, 0.6627758
8810.0, 0.6627335
8820.0, 0.6626913
8830.0, 0.66264915
8840.0, 0.66260713
8850.0, 0.6625651
8860.0, 0.6625232
8870.0, 0.66248137
8880.0, 0.6624396
8890.0, 0.6623979
8900.0, 0.66235626
8910.0, 0.6623147
8920.0, 0.6622732
8930.0, 0.6622318
8940.0, 0.66219044
8950.0, 0.6621492
8960.0, 0.662108
8970.0, 0.6620668
8980.0, 0.66202575
8990.0, 0.6619848
9000.0, 0.66194385
9010.0, 0.661903
9020.0, 0.6618622
9030.0, 0.6618215
9040.0, 0.66178083
9050.0, 0.66174024
9060.0, 0.6616998
9070.0, 0.6616593
9080.0, 0.66161895
9090.0, 0.66157866
9100.0, 0.6615384
9110.0, 0.66149825
9120.0, 0.66145813
9130.0, 0.6614181
9140.0, 0.66137815
9150.0, 0.66133827
9160.0, 0.66129845
9170.0, 0.6612587
9180.0, 0.661219
9190.0, 0.66117936
9200.0, 0.66113985
9210.0, 0.6611003
9220.0, 0.6610609
9230.0, 0.6610216
9240.0, 0.6609823
9250.0, 0.6609431
9260.0, 0.66090393
9270.0, 0.6608649
9280.0, 0.66082585
9290.0, 0.6607869
9300.0, 0.660748
9310.0, 0.6607092
9320.0, 0.66067046
9330.0, 0.6606318
9340.0, 0.6605932
9350.0, 0.66055465
9360.0, 0.66051614
9370.0, 0.66047776
9380.0, 0.66043943
9390.0, 0.66040117
9400.0, 0.6603629
9410.0, 0.66032475
9420.0, 0.6602867
9430.0, 0.6602487
9440.0, 0.6602107
9450.0, 0.6601728
9460.0, 0.66013503
9470.0, 0.66009724
9480.0, 0.6600596
9490.0, 0.66002196
9500.0, 0.6599844
9510.0, 0.6599469
9520.0, 0.6599095
9530.0, 0.6598721
9540.0, 0.6598348
9550.0, 0.65979755
9560.0, 0.6597604
9570.0, 0.6597233
9580.0, 0.65968627
9590.0, 0.65964925
9600.0, 0.65961236
9610.0, 0.6595755
9620.0, 0.65953875
9630.0, 0.659502
9640.0, 0.6594653
9650.0, 0.6594288
9660.0, 0.65939224
9670.0, 0.65935576
9680.0, 0.65931934
9690.0, 0.659283
9700.0, 0.65924674
9710.0, 0.6592105
9720.0, 0.6591743
9730.0, 0.65913826
9740.0, 0.65910226
9750.0, 0.65906626
9760.0, 0.6590304
9770.0, 0.6589945
9780.0, 0.65895873
9790.0, 0.65892303
9800.0, 0.6588874
9810.0, 0.6588518
9820.0, 0.6588163
9830.0, 0.6587808
9840.0, 0.6587454
9850.0, 0.65871006
9860.0, 0.6586748
9870.0, 0.65863955
9880.0, 0.6586044
9890.0, 0.6585693
9900.0, 0.6585342
9910.0, 0.65849924
9920.0, 0.6584644
9930.0, 0.6584295
9940.0, 0.6583947
9950.0, 0.65836
9960.0, 0.6583253
9970.0, 0.6582907
9980.0, 0.6582562
9990.0, 0.65822166
10000.0, 0.6581872
10010.0, 0.6581529
10020.0, 0.65811855
10030.0, 0.6580843
10040.0, 0.6580501
10050.0, 0.65801597
10060.0, 0.65798193
10070.0, 0.6579479
10080.0, 0.657914
10090.0, 0.65788007
10100.0, 0.6578462
10110.0, 0.6578125
10120.0, 0.65777874
10130.0, 0.6577451
10140.0, 0.6577115
10150.0, 0.65767795
10160.0, 0.6576445
10170.0, 0.6576111
10180.0, 0.6575777
10190.0, 0.65754443
10200.0, 0.6575112
10210.0, 0.657478
10220.0, 0.6574449
10230.0, 0.6574118
10240.0, 0.6573788
10250.0, 0.65734583
10260.0, 0.6573129
10270.0, 0.65728015
10280.0, 0.65724736
10290.0, 0.65721464
10300.0, 0.657182
10310.0, 0.6571494
10320.0, 0.65711683
10330.0, 0.65708435
10340.0, 0.6570519
10350.0, 0.6570195
10360.0, 0.6569872
10370.0, 0.65695494
10380.0, 0.65692276
10390.0, 0.6568906
10400.0, 0.6568585
10410.0, 0.6568265
10420.0, 0.6567945
10430.0, 0.6567626
10440.0, 0.6567307
10450.0, 0.6566989
10460.0, 0.6566672
10470.0, 0.65663546
10480.0, 0.6566038
10490.0, 0.6565722
10500.0, 0.6565407
10510.0, 0.6565092
10520.0, 0.6564778
10530.0, 0.65644646
10540.0, 0.65641516
10550.0, 0.65638393
10560.0, 0.6563527
10570.0, 0.6563216
10580.0, 0.65629053
10590.0, 0.6562595
10600.0, 0.6562285
10610.0, 0.6561976
10620.0, 0.65616673
10630.0, 0.6561359
10640.0, 0.65610516
10650.0, 0.65607446
10660.0, 0.6560438
10670.0, 0.65601325
10680.0, 0.6559827
10690.0, 0.6559522
10700.0, 0.65592176
10710.0, 0.6558914
10720.0, 0.6558611
10730.0, 0.65583086
10740.0, 0.65580064
10750.0, 0.6557705
10760.0, 0.6557404
10770.0, 0.6557103
10780.0, 0.6556803
10790.0, 0.6556504
10800.0, 0.65562046
10810.0, 0.65559065
10820.0, 0.65556085
10830.0, 0.6555311
10840.0, 0.6555015
10850.0, 0.65547186
10860.0, 0.65544224
10870.0, 0.65541273
10880.0, 0.6553833
10890.0, 0.65535384
10900.0, 0.6553245
10910.0, 0.6552952
10920.0, 0.6552659
10930.0, 0.6552367
10940.0, 0.6552076
10950.0, 0.6551785
10960.0, 0.65514946
10970.0, 0.65512043
10980.0, 0.65509146
10990.0, 0.6550626
11000.0, 0.65503377
11010.0, 0.655005
11020.0, 0.65497625
11030.0, 0.6549475
11040.0, 0.6549189
11050.0, 0.65489036
11060.0, 0.6548618
11070.0, 0.6548333
11080.0, 0.6548049
11090.0, 0.6547765
11100.0, 0.6547482
11110.0, 0.6547199
11120.0, 0.6546917
11130.0, 0.6546635
11140.0, 0.65463537
11150.0, 0.6546073
11160.0, 0.6545793
11170.0, 0.6545513
11180.0, 0.6545234
11190.0, 0.6544955
11200.0, 0.6544677
11210.0, 0.6544399
11220.0, 0.65441215
11230.0, 0.6543845
11240.0, 0.6543569
11250.0, 0.6543293
11260.0, 0.65430176
11270.0, 0.6542743
11280.0, 0.65424687
11290.0, 0.6542195
11300.0, 0.65419215
11310.0, 0.6541649
11320.0, 0.6541377
11330.0, 0.6541105
11340.0, 0.6540834
11350.0, 0.65405625
11360.0, 0.65402925
11370.0, 0.65400225
11380.0, 0.6539753
11390.0, 0.6539484
11400.0, 0.6539216
11410.0, 0.6538948
11420.0, 0.6538681
11430.0, 0.6538414
11440.0, 0.65381473
11450.0, 0.65378815
11460.0, 0.65376157
11470.0, 0.65373504
11480.0, 0.65370864
11490.0, 0.65368223
11500.0, 0.6536558
11510.0, 0.65362954
11520.0, 0.65360326
11530.0, 0.653577
11540.0, 0.65355086
11550.0, 0.65352476
11560.0, 0.6534987
11570.0, 0.65347266
11580.0, 0.6534467
11590.0, 0.65342075
11600.0, 0.6533949
