Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
6940.0, 0.7770459
6950.0, 0.77619505
6960.0, 0.775346
6970.0, 0.7744993
6980.0, 0.7736545
6990.0, 0.772812
7000.0, 0.7719716
7010.0, 0.77113307
7020.0, 0.7702969
7030.0, 0.7694626
7040.0, 0.7686305
7050.0, 0.76780033
7060.0, 0.7669724
7070.0, 0.76614636
7080.0, 0.7653223
7090.0, 0.76450056
7100.0, 0.7636806
7110.0, 0.7628626
7120.0, 0.76204675
7130.0, 0.76123285
7140.0, 0.7604209
7150.0, 0.7596109
7160.0, 0.758803
7170.0, 0.75799704
7180.0, 0.75719297
7190.0, 0.75639087
7200.0, 0.75559074
7210.0, 0.75479245
7220.0, 0.7539962
7230.0, 0.75320184
7240.0, 0.75240934
7250.0, 0.75161886
7260.0, 0.7508301
7270.0, 0.75004345
7280.0, 0.7492585
7290.0, 0.74847555
7300.0, 0.74769443
7310.0, 0.7469151
7320.0, 0.746138
7330.0, 0.74536234
7340.0, 0.7445887
7350.0, 0.74381673
7360.0, 0.7430467
7370.0, 0.7422785
7380.0, 0.7415121
7390.0, 0.7407476
7400.0, 0.73998475
7410.0, 0.73922384
7420.0, 0.73846453
7430.0, 0.73770726
7440.0, 0.73695165
7450.0, 0.73619765
7460.0, 0.7354456
7470.0, 0.73469526
7480.0, 0.7339467
7490.0, 0.7331999
7500.0, 0.7324547
7510.0, 0.7317114
7520.0, 0.73096967
7530.0, 0.7302298
7540.0, 0.72949165
7550.0, 0.7287551
7560.0, 0.7280203
7570.0, 0.7272872
7580.0, 0.7265558
7590.0, 0.725826
7600.0, 0.7250981
7610.0, 0.7243716
7620.0, 0.72364694
7630.0, 0.7229239
7640.0, 0.72220254
7650.0, 0.7214827
7660.0, 0.7207646
7670.0, 0.7200481
7680.0, 0.71933323
7690.0, 0.71861994
7700.0, 0.7179085
7710.0, 0.7171984
7720.0, 0.7164901
7730.0, 0.7157832
7740.0, 0.715078
7750.0, 0.7143745
7760.0, 0.7136723
7770.0, 0.71297204
7780.0, 0.712273
7790.0, 0.71157575
7800.0, 0.71088004
7810.0, 0.7101859
7820.0, 0.7094932
7830.0, 0.70880216
7840.0, 0.7081126
7850.0, 0.7074246
7860.0, 0.7067381
7870.0, 0.70605326
7880.0, 0.7053698
7890.0, 0.70468783
7900.0, 0.7040074
7910.0, 0.70332855
7920.0, 0.702651
7930.0, 0.7019752
7940.0, 0.7013007
7950.0, 0.70062774
7960.0, 0.6999563
7970.0, 0.69928634
7980.0, 0.6986178
7990.0, 0.6979507
8000.0, 0.6972851
8010.0, 0.6966208
8020.0, 0.6959582
8030.0, 0.695297
8040.0, 0.6946371
8050.0, 0.6939788
8060.0, 0.6933217
8070.0, 0.69266635
8080.0, 0.69201225
8090.0, 0.6913594
8100.0, 0.69070816
8110.0, 0.6900583
8120.0, 0.6894098
8130.0, 0.6887626
8140.0, 0.6881169
8150.0, 0.68747264
8160.0, 0.6868297
8170.0, 0.68618816
8180.0, 0.68554795
8190.0, 0.6849091
8200.0, 0.68427163
8210.0, 0.6836356
8220.0, 0.68300074
8230.0, 0.68236744
8240.0, 0.6817354
8250.0, 0.6811046
8260.0, 0.6804752
8270.0, 0.6798471
8280.0, 0.67922044
8290.0, 0.6785951
8300.0, 0.67797095
8310.0, 0.67734814
8320.0, 0.67672676
8330.0, 0.6761066
8340.0, 0.6754877
8350.0, 0.6748703
8360.0, 0.6742539
8370.0, 0.67363894
8380.0, 0.6730252
8390.0, 0.67241275
8400.0, 0.67180175
8410.0, 0.6711919
8420.0, 0.67058325
8430.0, 0.669976
8440.0, 0.66936994
8450.0, 0.66876507
8460.0, 0.66816145
8470.0, 0.66755915
8480.0, 0.66695815
8490.0, 0.66635823
8500.0, 0.66575974
8510.0, 0.66516227
8520.0, 0.66456616
8530.0, 0.66397125
8540.0, 0.6633775
8550.0, 0.66278505
8560.0, 0.6621937
8570.0, 0.66160375
8580.0, 0.66101485
8590.0, 0.66042715
8600.0, 0.65984064
8610.0, 0.6592555
8620.0, 0.6586714
8630.0, 0.65808845
8640.0, 0.6575067
8650.0, 0.6569262
8660.0, 0.6563469
8670.0, 0.6557687
8680.0, 0.6551917
8690.0, 0.6546158
8700.0, 0.6540411
8710.0, 0.6534675
8720.0, 0.6528951
8730.0, 0.6523239
8740.0, 0.6517537
8750.0, 0.6511848
8760.0, 0.65061694
8770.0, 0.6500503
8780.0, 0.64948475
8790.0, 0.6489203
8800.0, 0.648357
8810.0, 0.6477947
8820.0, 0.6472338
8830.0, 0.64667374
8840.0, 0.6461149
8850.0, 0.64555717
8860.0, 0.64500046
8870.0, 0.64444494
8880.0, 0.64389056
8890.0, 0.6433372
8900.0, 0.6427849
8910.0, 0.64223367
8920.0, 0.6416836
8930.0, 0.6411346
8940.0, 0.6405867
8950.0, 0.64003974
8960.0, 0.63949394
8970.0, 0.63894916
8980.0, 0.6384055
8990.0, 0.6378629
9000.0, 0.63732135
9010.0, 0.6367808
9020.0, 0.6362414
9030.0, 0.63570297
9040.0, 0.6351657
9050.0, 0.63462937
9060.0, 0.634094
9070.0, 0.63355976
9080.0, 0.6330266
9090.0, 0.6324944
9100.0, 0.63196313
9110.0, 0.63143307
9120.0, 0.6309039
9130.0, 0.6303758
9140.0, 0.6298486
9150.0, 0.6293226
9160.0, 0.6287975
9170.0, 0.6282734
9180.0, 0.62775034
9190.0, 0.62722826
9200.0, 0.62670726
9210.0, 0.626187
9220.0, 0.6256679
9230.0, 0.62514985
9240.0, 0.62463266
9250.0, 0.62411654
9260.0, 0.6236013
9270.0, 0.6230871
9280.0, 0.6225739
9290.0, 0.6220616
9300.0, 0.6215503
9310.0, 0.6210399
9320.0, 0.62053066
9330.0, 0.62002224
9340.0, 0.6195147
9350.0, 0.6190082
9360.0, 0.6185027
9370.0, 0.6179981
9380.0, 0.6174943
9390.0, 0.61699164
9400.0, 0.61648977
9410.0, 0.615989
9420.0, 0.61548895
9430.0, 0.61499006
9440.0, 0.61449194
9450.0, 0.6139948
9460.0, 0.6134985
9470.0, 0.61300313
9480.0, 0.61250883
9490.0, 0.61201537
9500.0, 0.6115227
9510.0, 0.6110311
9520.0, 0.61054033
9530.0, 0.6100505
9540.0, 0.6095615
9550.0, 0.60907346
9560.0, 0.6085863
9570.0, 0.60810006
9580.0, 0.6076147
9590.0, 0.60713017
9600.0, 0.60664654
9610.0, 0.6061638
9620.0, 0.60568196
9630.0, 0.60520107
9640.0, 0.60472095
9650.0, 0.6042417
9660.0, 0.60376334
9670.0, 0.6032859
9680.0, 0.60280925
9690.0, 0.60233355
9700.0, 0.6018587
9710.0, 0.6013846
9720.0, 0.60091144
9730.0, 0.6004391
9740.0, 0.5999676
9750.0, 0.599497
9760.0, 0.5990272
9770.0, 0.5985582
9780.0, 0.5980901
9790.0, 0.5976229
9800.0, 0.5971565
9810.0, 0.59669095
9820.0, 0.59622616
9830.0, 0.5957622
9840.0, 0.5952991
9850.0, 0.5948368
9860.0, 0.59437543
9870.0, 0.5939148
9880.0, 0.5934549
9890.0, 0.5929959
9900.0, 0.5925378
9910.0, 0.5920805
9920.0, 0.5916238
9930.0, 0.59116805
9940.0, 0.59071314
9950.0, 0.590259
9960.0, 0.5898056
9970.0, 0.5893531
9980.0, 0.5889013
9990.0, 0.5884503
10000.0, 0.5880001
10010.0, 0.5875508
10020.0, 0.58710223
10030.0, 0.58665437
10040.0, 0.58620733
10050.0, 0.58576113
10060.0, 0.5853157
10070.0, 0.584871
10080.0, 0.584427
10090.0, 0.58398384
10100.0, 0.5835415
10110.0, 0.5830999
10120.0, 0.5826591
10130.0, 0.58221895
10140.0, 0.5817797
10150.0, 0.58134115
10160.0, 0.5809033
10170.0, 0.5804663
10180.0, 0.58002996
10190.0, 0.57959443
10200.0, 0.5791596
10210.0, 0.57872564
10220.0, 0.5782923
10230.0, 0.5778598
10240.0, 0.5774279
10250.0, 0.57699686
10260.0, 0.5765666
10270.0, 0.5761369
10280.0, 0.57570815
10290.0, 0.5752799
10300.0, 0.5748525
10310.0, 0.5744258
10320.0, 0.5739999
10330.0, 0.5735747
10340.0, 0.57315016
10350.0, 0.57272637
10360.0, 0.5723033
10370.0, 0.571881
10380.0, 0.57145935
10390.0, 0.5710385
10400.0, 0.5706182
10410.0, 0.57019866
10420.0, 0.56978
10430.0, 0.56936187
10440.0, 0.5689445
10450.0, 0.5685278
10460.0, 0.5681118
10470.0, 0.56769645
10480.0, 0.56728184
10490.0, 0.566868
10500.0, 0.56645477
10510.0, 0.56604224
10520.0, 0.5656304
10530.0, 0.5652193
10540.0, 0.5648089
10550.0, 0.5643991
10560.0, 0.56398994
10570.0, 0.5635815
10580.0, 0.56317383
10590.0, 0.5627668
10600.0, 0.56236035
10610.0, 0.5619547
10620.0, 0.56154954
10630.0, 0.56114525
10640.0, 0.5607415
10650.0, 0.56033856
10660.0, 0.5599362
10670.0, 0.55953443
10680.0, 0.55913335
10690.0, 0.558733
10700.0, 0.55833334
10710.0, 0.55793417
10720.0, 0.5575357
10730.0, 0.557138
10740.0, 0.5567408
10750.0, 0.5563444
10760.0, 0.55594856
10770.0, 0.55555344
10780.0, 0.55515885
10790.0, 0.554765
10800.0, 0.5543717
10810.0, 0.55397904
10820.0, 0.55358714
10830.0, 0.5531957
10840.0, 0.55280507
10850.0, 0.5524149
10860.0, 0.5520255
10870.0, 0.5516367
10880.0, 0.55124855
10890.0, 0.5508609
10900.0, 0.55047405
10910.0, 0.55008775
10920.0, 0.549702
10930.0, 0.54931694
10940.0, 0.54893243
10950.0, 0.54854864
10960.0, 0.5481654
10970.0, 0.54778284
10980.0, 0.5474009
10990.0, 0.5470194
11000.0, 0.5466386
11010.0, 0.5462585
11020.0, 0.54587895
11030.0, 0.54550004
11040.0, 0.54512167
11050.0, 0.5447439
11060.0, 0.54436666
11070.0, 0.54399014
11080.0, 0.54361427
