Energy (in eV), SEEE yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
9200.0, 0.9593649
9210.0, 0.9585044
9220.0, 0.9576454
9230.0, 0.9567882
9240.0, 0.95593256
9250.0, 0.95507866
9260.0, 0.95422626
9270.0, 0.9533756
9280.0, 0.95252645
9290.0, 0.951679
9300.0, 0.95083326
9310.0, 0.9499889
9320.0, 0.94914633
9330.0, 0.9483053
9340.0, 0.94746614
9350.0, 0.9466282
9360.0, 0.94579196
9370.0, 0.94495744
9380.0, 0.94412434
9390.0, 0.9432929
9400.0, 0.94246316
9410.0, 0.94163465
9420.0, 0.9408081
9430.0, 0.93998283
9440.0, 0.9391593
9450.0, 0.9383371
9460.0, 0.9375165
9470.0, 0.9366976
9480.0, 0.9358803
9490.0, 0.93506426
9500.0, 0.93424994
9510.0, 0.9334371
9520.0, 0.93262565
9530.0, 0.9318158
9540.0, 0.93100756
9550.0, 0.9302009
9560.0, 0.92939544
9570.0, 0.9285917
9580.0, 0.92778957
9590.0, 0.92698866
9600.0, 0.92618924
9610.0, 0.9253915
9620.0, 0.92459506
9630.0, 0.92380023
9640.0, 0.92300683
9650.0, 0.922215
9660.0, 0.92142445
9670.0, 0.9206354
9680.0, 0.9198477
9690.0, 0.9190617
9700.0, 0.91827697
9710.0, 0.9174937
9720.0, 0.916712
9730.0, 0.9159318
9740.0, 0.91515285
9750.0, 0.9143752
9760.0, 0.913599
9770.0, 0.9128242
9780.0, 0.912051
9790.0, 0.9112792
9800.0, 0.91050863
9810.0, 0.90973973
9820.0, 0.90897214
9830.0, 0.90820587
9840.0, 0.90744084
9850.0, 0.90667737
9860.0, 0.9059154
9870.0, 0.90515465
9880.0, 0.9043954
9890.0, 0.90363735
9900.0, 0.90288085
9910.0, 0.9021255
9920.0, 0.90137154
9930.0, 0.9006189
9940.0, 0.89986783
9950.0, 0.899118
9960.0, 0.8983695
9970.0, 0.8976224
9980.0, 0.89687663
9990.0, 0.8961322
10000.0, 0.8953889
10010.0, 0.8946471
10020.0, 0.8939066
10030.0, 0.8931675
10040.0, 0.8924296
10050.0, 0.89169306
10060.0, 0.89095795
10070.0, 0.89022404
10080.0, 0.8894912
10090.0, 0.8887598
10100.0, 0.88802975
10110.0, 0.887301
10120.0, 0.8865735
10130.0, 0.88584733
10140.0, 0.8851225
10150.0, 0.88439894
10160.0, 0.88367635
10170.0, 0.88295543
10180.0, 0.88223547
10190.0, 0.88151705
10200.0, 0.8807997
10210.0, 0.8800837
10220.0, 0.8793688
10230.0, 0.8786554
10240.0, 0.877943
10250.0, 0.87723196
10260.0, 0.87652206
10270.0, 0.8758135
10280.0, 0.87510616
10290.0, 0.8744002
10300.0, 0.8736952
10310.0, 0.87299144
10320.0, 0.872289
10330.0, 0.8715878
10340.0, 0.8708879
10350.0, 0.87018895
10360.0, 0.86949146
10370.0, 0.8687951
10380.0, 0.8680999
10390.0, 0.8674058
10400.0, 0.8667129
10410.0, 0.8660213
10420.0, 0.86533093
10430.0, 0.8646416
10440.0, 0.86395365
10450.0, 0.86326677
10460.0, 0.8625811
10470.0, 0.86189646
10480.0, 0.86121315
10490.0, 0.860531
10500.0, 0.8598499
10510.0, 0.8591701
10520.0, 0.85849124
10530.0, 0.8578138
10540.0, 0.8571373
10550.0, 0.85646206
10560.0, 0.85578793
10570.0, 0.85511506
10580.0, 0.8544432
10590.0, 0.8537725
10600.0, 0.8531028
10610.0, 0.8524345
10620.0, 0.8517672
10630.0, 0.85110086
10640.0, 0.8504358
10650.0, 0.84977204
10660.0, 0.8491092
10670.0, 0.84844744
10680.0, 0.8477867
10690.0, 0.8471273
10700.0, 0.8464689
10710.0, 0.84581155
10720.0, 0.8451553
10730.0, 0.8445003
10740.0, 0.8438462
10750.0, 0.84319335
10760.0, 0.84254146
10770.0, 0.8418908
10780.0, 0.8412411
10790.0, 0.8405925
10800.0, 0.8399449
10810.0, 0.83929855
10820.0, 0.83865327
10830.0, 0.838009
10840.0, 0.83736575
10850.0, 0.83672357
10860.0, 0.8360826
10870.0, 0.8354424
10880.0, 0.83480334
10890.0, 0.8341654
10900.0, 0.83352864
10910.0, 0.8328928
10920.0, 0.8322579
10930.0, 0.8316242
10940.0, 0.8309916
10950.0, 0.8303599
10960.0, 0.8297292
10970.0, 0.8290995
10980.0, 0.828471
10990.0, 0.82784337
11000.0, 0.8272169
11010.0, 0.8265913
11020.0, 0.8259668
11030.0, 0.8253433
11040.0, 0.82472086
11050.0, 0.8240993
11060.0, 0.823479
11070.0, 0.8228595
11080.0, 0.82224107
11090.0, 0.8216236
11100.0, 0.8210072
11110.0, 0.8203918
11120.0, 0.81977725
11130.0, 0.81916386
11140.0, 0.8185513
11150.0, 0.8179398
11160.0, 0.8173294
11170.0, 0.81671983
11180.0, 0.8161113
11190.0, 0.8155038
11200.0, 0.8148972
11210.0, 0.81429154
11220.0, 0.81368685
11230.0, 0.81308323
11240.0, 0.8124805
11250.0, 0.81187874
11260.0, 0.8112779
11270.0, 0.8106781
11280.0, 0.8100792
11290.0, 0.80948126
11300.0, 0.8088843
11310.0, 0.8082882
11320.0, 0.80769324
11330.0, 0.80709904
11340.0, 0.8065058
11350.0, 0.8059134
11360.0, 0.8053221
11370.0, 0.8047318
11380.0, 0.80414236
11390.0, 0.8035538
11400.0, 0.80296624
11410.0, 0.80237955
11420.0, 0.8017938
11430.0, 0.801209
11440.0, 0.8006251
11450.0, 0.80004203
11460.0, 0.79946005
11470.0, 0.7988787
11480.0, 0.7982986
11490.0, 0.7977193
11500.0, 0.7971407
11510.0, 0.7965631
11520.0, 0.7959865
11530.0, 0.7954109
11540.0, 0.79483604
11550.0, 0.794262
11560.0, 0.7936889
11570.0, 0.79311687
11580.0, 0.79254556
11590.0, 0.79197514
11600.0, 0.7914055
11610.0, 0.790837
11620.0, 0.7902692
11630.0, 0.7897025
11640.0, 0.78913635
11650.0, 0.7885711
11660.0, 0.7880071
11670.0, 0.78744346
11680.0, 0.786881
11690.0, 0.78631943
11700.0, 0.7857587
11710.0, 0.7851987
11720.0, 0.78463966
11730.0, 0.78408146
