Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
7800.0, 1.7464805E-14
7810.0, 1.7269001E-14
7820.0, 1.7075634E-14
7830.0, 1.6884682E-14
7840.0, 1.6696095E-14
7850.0, 1.6509858E-14
7860.0, 1.6325925E-14
7870.0, 1.6144282E-14
7880.0, 1.5964875E-14
7890.0, 1.5787695E-14
7900.0, 1.5612694E-14
7910.0, 1.5439859E-14
7920.0, 1.5269143E-14
7930.0, 1.5100536E-14
7940.0, 1.493399E-14
7950.0, 1.4769495E-14
7960.0, 1.4607009E-14
7970.0, 1.4446518E-14
7980.0, 1.428798E-14
7990.0, 1.4131386E-14
8000.0, 1.3976693E-14
8010.0, 1.3823884E-14
8020.0, 1.3672932E-14
8030.0, 1.3523827E-14
8040.0, 1.3376517E-14
8050.0, 1.32309934E-14
8060.0, 1.308723E-14
8070.0, 1.2945216E-14
8080.0, 1.28049045E-14
8090.0, 1.2666284E-14
8100.0, 1.25293325E-14
8110.0, 1.2394041E-14
8120.0, 1.226036E-14
8130.0, 1.2128286E-14
8140.0, 1.1997792E-14
8150.0, 1.1868875E-14
8160.0, 1.1741483E-14
8170.0, 1.16156135E-14
8180.0, 1.1491245E-14
8190.0, 1.136837E-14
8200.0, 1.12469424E-14
8210.0, 1.11269585E-14
8220.0, 1.1008399E-14
8230.0, 1.0891254E-14
8240.0, 1.0775488E-14
8250.0, 1.0661088E-14
8260.0, 1.05480395E-14
8270.0, 1.0436325E-14
8280.0, 1.03259356E-14
8290.0, 1.0216835E-14
8300.0, 1.0109018E-14
8310.0, 1.0002467E-14
8320.0, 9.897174E-15
8330.0, 9.793103E-15
8340.0, 9.690248E-15
8350.0, 9.588599E-15
8360.0, 9.488142E-15
8370.0, 9.388847E-15
8380.0, 9.290709E-15
8390.0, 9.193711E-15
8400.0, 9.09785E-15
8410.0, 9.00309E-15
8420.0, 8.909428E-15
8430.0, 8.8168515E-15
8440.0, 8.725352E-15
8450.0, 8.6349E-15
8460.0, 8.545492E-15
8470.0, 8.457114E-15
8480.0, 8.3697596E-15
8490.0, 8.283402E-15
8500.0, 8.198035E-15
8510.0, 8.1136464E-15
8520.0, 8.030223E-15
8530.0, 7.9477635E-15
8540.0, 7.866236E-15
8550.0, 7.785641E-15
8560.0, 7.7059636E-15
8570.0, 7.6272E-15
8580.0, 7.549326E-15
8590.0, 7.472336E-15
8600.0, 7.396219E-15
8610.0, 7.320971E-15
8620.0, 7.246568E-15
8630.0, 7.173007E-15
8640.0, 7.100276E-15
8650.0, 7.0283715E-15
8660.0, 6.9572716E-15
8670.0, 6.8869704E-15
8680.0, 6.8174594E-15
8690.0, 6.7487363E-15
8700.0, 6.680776E-15
8710.0, 6.6135786E-15
8720.0, 6.5471327E-15
8730.0, 6.4814343E-15
8740.0, 6.4164643E-15
8750.0, 6.3522177E-15
8760.0, 6.288688E-15
8770.0, 6.2258645E-15
8780.0, 6.1637457E-15
8790.0, 6.102309E-15
8800.0, 6.041555E-15
8810.0, 5.981473E-15
8820.0, 5.922061E-15
8830.0, 5.8633006E-15
8840.0, 5.8051886E-15
8850.0, 5.747717E-15
8860.0, 5.6908836E-15
8870.0, 5.6346703E-15
8880.0, 5.579075E-15
8890.0, 5.5240893E-15
8900.0, 5.469711E-15
8910.0, 5.4159244E-15
8920.0, 5.3627257E-15
8930.0, 5.3101076E-15
8940.0, 5.2580693E-15
8950.0, 5.2065942E-15
8960.0, 5.1556782E-15
8970.0, 5.1053166E-15
8980.0, 5.0555073E-15
8990.0, 5.0062337E-15
9000.0, 4.957495E-15
9010.0, 4.909283E-15
9020.0, 4.8615926E-15
9030.0, 4.8144226E-15
9040.0, 4.7677566E-15
9050.0, 4.721595E-15
9060.0, 4.6759298E-15
9070.0, 4.63076E-15
9080.0, 4.586072E-15
9090.0, 4.5418635E-15
9100.0, 4.4981287E-15
9110.0, 4.454867E-15
9120.0, 4.412064E-15
