Energy (in eV), backscattering yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
6210.0, 0.24559309
6220.0, 0.24551511
6230.0, 0.24543725
6240.0, 0.24535954
6250.0, 0.24528196
6260.0, 0.24520452
6270.0, 0.24512723
6280.0, 0.24505006
6290.0, 0.24497305
6300.0, 0.24489616
6310.0, 0.2448194
6320.0, 0.24474281
6330.0, 0.24466631
6340.0, 0.24459
6350.0, 0.2445138
6360.0, 0.24443771
6370.0, 0.2443618
6380.0, 0.24428599
6390.0, 0.24421033
6400.0, 0.24413481
6410.0, 0.24405943
6420.0, 0.24398416
6430.0, 0.24390905
6440.0, 0.24383406
6450.0, 0.2437592
6460.0, 0.2436845
6470.0, 0.2436099
6480.0, 0.24353546
6490.0, 0.24346113
6500.0, 0.24338697
6510.0, 0.24331291
6520.0, 0.24323899
6530.0, 0.24316521
6540.0, 0.24309155
6550.0, 0.24301803
6560.0, 0.24294464
6570.0, 0.24287137
6580.0, 0.24279825
6590.0, 0.24272525
6600.0, 0.2426524
6610.0, 0.24257965
6620.0, 0.24250707
6630.0, 0.24243458
6640.0, 0.24236225
6650.0, 0.24229002
6660.0, 0.24221794
6670.0, 0.24214599
6680.0, 0.24207415
6690.0, 0.24200246
6700.0, 0.24193089
6710.0, 0.24185945
6720.0, 0.24178815
6730.0, 0.24171695
6740.0, 0.24164589
6750.0, 0.24157496
6760.0, 0.24150416
6770.0, 0.2414335
6780.0, 0.24136294
6790.0, 0.24129254
6800.0, 0.24122223
6810.0, 0.24115206
6820.0, 0.24108203
6830.0, 0.24101211
6840.0, 0.24094231
6850.0, 0.24087267
6860.0, 0.24080312
6870.0, 0.2407337
6880.0, 0.24066442
6890.0, 0.24059525
6900.0, 0.24052621
6910.0, 0.24045731
6920.0, 0.24038851
6930.0, 0.24031985
6940.0, 0.24025132
6950.0, 0.24018289
6960.0, 0.24011458
6970.0, 0.24004641
6980.0, 0.23997837
6990.0, 0.23991045
7000.0, 0.23984264
7010.0, 0.23977496
7020.0, 0.2397074
7030.0, 0.23963997
7040.0, 0.23957264
7050.0, 0.23950545
7060.0, 0.23943837
7070.0, 0.23937143
7080.0, 0.23930459
7090.0, 0.23923789
7100.0, 0.23917128
7110.0, 0.23910482
7120.0, 0.23903847
7130.0, 0.23897223
7140.0, 0.23890615
7150.0, 0.23884013
7160.0, 0.23877427
7170.0, 0.23870851
7180.0, 0.23864289
7190.0, 0.23857737
7200.0, 0.23851196
7210.0, 0.2384467
7220.0, 0.23838153
7230.0, 0.23831648
7240.0, 0.23825158
7250.0, 0.23818675
7260.0, 0.23812208
7270.0, 0.2380575
7280.0, 0.23799305
7290.0, 0.23792869
7300.0, 0.23786448
7310.0, 0.23780037
7320.0, 0.23773639
7330.0, 0.23767251
7340.0, 0.23760875
7350.0, 0.2375451
7360.0, 0.23748158
7370.0, 0.23741817
7380.0, 0.23735489
7390.0, 0.2372917
7400.0, 0.23722863
7410.0, 0.23716567
7420.0, 0.23710284
7430.0, 0.2370401
7440.0, 0.2369775
7450.0, 0.236915
7460.0, 0.23685262
7470.0, 0.23679034
7480.0, 0.23672819
7490.0, 0.23666613
7500.0, 0.23660421
7510.0, 0.23654239
7520.0, 0.23648068
7530.0, 0.23641908
7540.0, 0.23635761
7550.0, 0.23629624
7560.0, 0.23623498
7570.0, 0.23617382
7580.0, 0.23611279
7590.0, 0.23605187
7600.0, 0.23599105
7610.0, 0.23593035
7620.0, 0.23586974
7630.0, 0.23580928
7640.0, 0.23574889
7650.0, 0.23568864
7660.0, 0.23562849
7670.0, 0.23556843
7680.0, 0.2355085
7690.0, 0.23544866
7700.0, 0.23538895
7710.0, 0.23532934
7720.0, 0.23526983
7730.0, 0.23521045
7740.0, 0.23515117
7750.0, 0.235092
7760.0, 0.23503295
7770.0, 0.23497397
7780.0, 0.23491511
7790.0, 0.23485637
7800.0, 0.23479773
7810.0, 0.23473921
7820.0, 0.23468079
7830.0, 0.23462245
7840.0, 0.23456426
7850.0, 0.23450615
7860.0, 0.23444816
7870.0, 0.23439027
7880.0, 0.23433247
7890.0, 0.2342748
7900.0, 0.23421723
7910.0, 0.23415975
7920.0, 0.23410238
7930.0, 0.23404512
7940.0, 0.23398797
7950.0, 0.23393093
7960.0, 0.23387396
7970.0, 0.23381713
7980.0, 0.23376039
7990.0, 0.23370376
8000.0, 0.23364723
8010.0, 0.2335908
8020.0, 0.23353446
8030.0, 0.23347825
8040.0, 0.23342213
8050.0, 0.2333661
8060.0, 0.23331018
8070.0, 0.23325439
8080.0, 0.23319867
8090.0, 0.23314306
8100.0, 0.23308755
8110.0, 0.23303217
8120.0, 0.23297687
8130.0, 0.23292166
8140.0, 0.23286656
8150.0, 0.23281157
8160.0, 0.23275667
8170.0, 0.23270187
8180.0, 0.23264717
8190.0, 0.23259257
8200.0, 0.23253809
8210.0, 0.23248369
8220.0, 0.23242939
8230.0, 0.23237517
8240.0, 0.23232108
8250.0, 0.2322671
8260.0, 0.2322132
8270.0, 0.23215939
8280.0, 0.23210569
8290.0, 0.23205209
8300.0, 0.2319986
8310.0, 0.23194517
8320.0, 0.23189186
8330.0, 0.23183866
8340.0, 0.23178555
8350.0, 0.23173253
8360.0, 0.23167962
8370.0, 0.23162681
8380.0, 0.23157407
8390.0, 0.23152144
8400.0, 0.23146892
8410.0, 0.23141648
8420.0, 0.23136416
8430.0, 0.23131192
8440.0, 0.23125976
8450.0, 0.23120773
8460.0, 0.23115575
8470.0, 0.23110391
8480.0, 0.23105216
8490.0, 0.23100047
8500.0, 0.23094891
8510.0, 0.23089743
8520.0, 0.23084606
8530.0, 0.23079479
8540.0, 0.23074357
8550.0, 0.23069249
8560.0, 0.23064148
8570.0, 0.23059057
8580.0, 0.23053975
8590.0, 0.23048905
8600.0, 0.23043841
8610.0, 0.23038787
8620.0, 0.23033743
8630.0, 0.23028709
8640.0, 0.23023683
8650.0, 0.23018667
8660.0, 0.2301366
8670.0, 0.23008662
8680.0, 0.23003675
8690.0, 0.22998694
8700.0, 0.22993724
8710.0, 0.22988763
8720.0, 0.2298381
8730.0, 0.22978868
8740.0, 0.22973934
8750.0, 0.2296901
8760.0, 0.22964095
8770.0, 0.22959189
8780.0, 0.22954293
8790.0, 0.22949404
8800.0, 0.22944525
8810.0, 0.22939655
8820.0, 0.22934791
8830.0, 0.22929941
8840.0, 0.22925098
8850.0, 0.22920263
8860.0, 0.22915438
8870.0, 0.22910623
8880.0, 0.22905813
8890.0, 0.22901016
8900.0, 0.22896226
8910.0, 0.22891447
8920.0, 0.22886674
8930.0, 0.22881912
8940.0, 0.22877157
8950.0, 0.22872412
8960.0, 0.22867675
8970.0, 0.22862947
8980.0, 0.22858228
8990.0, 0.22853518
9000.0, 0.22848816
9010.0, 0.22844122
9020.0, 0.22839439
9030.0, 0.22834763
9040.0, 0.22830096
9050.0, 0.22825436
9060.0, 0.22820789
9070.0, 0.22816147
9080.0, 0.22811514
9090.0, 0.2280689
9100.0, 0.22802274
9110.0, 0.22797668
9120.0, 0.2279307
9130.0, 0.2278848
9140.0, 0.227839
9150.0, 0.22779328
9160.0, 0.22774763
9170.0, 0.22770207
9180.0, 0.2276566
9190.0, 0.2276112
9200.0, 0.22756591
9210.0, 0.22752069
9220.0, 0.22747555
9230.0, 0.22743052
9240.0, 0.22738555
9250.0, 0.22734065
9260.0, 0.22729585
9270.0, 0.22725114
9280.0, 0.22720651
9290.0, 0.22716196
9300.0, 0.2271175
9310.0, 0.22707312
9320.0, 0.2270288
9330.0, 0.22698458
9340.0, 0.22694045
9350.0, 0.22689639
9360.0, 0.2268524
9370.0, 0.22680852
9380.0, 0.22676471
9390.0, 0.22672097
9400.0, 0.22667733
9410.0, 0.22663377
9420.0, 0.22659029
9430.0, 0.22654688
9440.0, 0.22650355
9450.0, 0.22646032
9460.0, 0.22641715
9470.0, 0.22637409
9480.0, 0.22633108
9490.0, 0.22628815
9500.0, 0.22624531
9510.0, 0.22620255
9520.0, 0.22615986
9530.0, 0.22611727
9540.0, 0.22607474
9550.0, 0.22603229
9560.0, 0.22598994
9570.0, 0.22594765
9580.0, 0.22590545
9590.0, 0.22586331
9600.0, 0.22582126
9610.0, 0.2257793
9620.0, 0.2257374
9630.0, 0.2256956
9640.0, 0.22565384
9650.0, 0.22561221
9660.0, 0.2255706
9670.0, 0.22552912
9680.0, 0.2254877
9690.0, 0.22544634
9700.0, 0.22540507
9710.0, 0.22536388
9720.0, 0.22532275
9730.0, 0.22528172
9740.0, 0.22524077
9750.0, 0.22519988
9760.0, 0.22515906
9770.0, 0.22511834
9780.0, 0.22507767
9790.0, 0.22503708
9800.0, 0.22499658
9810.0, 0.22495615
9820.0, 0.22491579
9830.0, 0.22487552
9840.0, 0.22483532
9850.0, 0.22479518
9860.0, 0.22475514
9870.0, 0.22471516
9880.0, 0.22467525
9890.0, 0.22463542
9900.0, 0.22459565
9910.0, 0.22455598
9920.0, 0.22451639
9930.0, 0.22447686
9940.0, 0.2244374
9950.0, 0.224398
9960.0, 0.22435872
9970.0, 0.22431947
9980.0, 0.2242803
9990.0, 0.22424121
10000.0, 0.2242022
10010.0, 0.22416326
10020.0, 0.2241244
10030.0, 0.2240856
10040.0, 0.22404686
10050.0, 0.2240082
10060.0, 0.22396965
10070.0, 0.22393113
10080.0, 0.22389269
10090.0, 0.22385435
10100.0, 0.22381604
10110.0, 0.22377783
10120.0, 0.22373968
10130.0, 0.22370161
10140.0, 0.22366361
10150.0, 0.22362567
10160.0, 0.22358781
10170.0, 0.22355
10180.0, 0.22351229
10190.0, 0.22347465
10200.0, 0.22343707
10210.0, 0.22339956
10220.0, 0.22336212
10230.0, 0.22332476
10240.0, 0.22328745
10250.0, 0.22325024
10260.0, 0.22321308
10270.0, 0.223176
10280.0, 0.22313899
10290.0, 0.22310205
10300.0, 0.22306517
10310.0, 0.22302835
10320.0, 0.22299162
10330.0, 0.22295494
10340.0, 0.22291835
10350.0, 0.22288181
10360.0, 0.22284535
10370.0, 0.22280894
10380.0, 0.22277263
10390.0, 0.22273634
10400.0, 0.22270016
10410.0, 0.22266406
10420.0, 0.22262801
10430.0, 0.22259201
10440.0, 0.2225561
10450.0, 0.22252025
10460.0, 0.22248445
10470.0, 0.22244875
10480.0, 0.2224131
10490.0, 0.22237751
10500.0, 0.222342
10510.0, 0.22230656
10520.0, 0.22227117
10530.0, 0.22223586
10540.0, 0.22220062
10550.0, 0.22216544
10560.0, 0.22213033
10570.0, 0.22209528
10580.0, 0.22206028
10590.0, 0.22202536
10600.0, 0.22199051
10610.0, 0.22195575
10620.0, 0.22192101
10630.0, 0.22188635
10640.0, 0.22185178
10650.0, 0.22181726
10660.0, 0.2217828
10670.0, 0.2217484
10680.0, 0.22171406
10690.0, 0.22167982
10700.0, 0.22164561
10710.0, 0.22161147
10720.0, 0.2215774
10730.0, 0.22154342
10740.0, 0.22150946
10750.0, 0.22147557
10760.0, 0.22144178
10770.0, 0.22140801
10780.0, 0.22137433
10790.0, 0.22134072
10800.0, 0.22130716
10810.0, 0.22127365
10820.0, 0.22124022
10830.0, 0.22120686
10840.0, 0.22117355
10850.0, 0.22114033
10860.0, 0.22110714
10870.0, 0.22107403
10880.0, 0.22104096
10890.0, 0.22100797
10900.0, 0.22097504
10910.0, 0.22094218
10920.0, 0.22090937
10930.0, 0.22087662
10940.0, 0.22084394
10950.0, 0.22081134
10960.0, 0.22077876
10970.0, 0.22074628
10980.0, 0.22071384
10990.0, 0.22068147
11000.0, 0.22064915
11010.0, 0.2206169
11020.0, 0.22058472
11030.0, 0.22055258
11040.0, 0.22052053
11050.0, 0.22048852
11060.0, 0.22045657
11070.0, 0.22042468
11080.0, 0.22039285
11090.0, 0.2203611
11100.0, 0.22032937
11110.0, 0.22029774
11120.0, 0.22026616
11130.0, 0.22023462
11140.0, 0.22020316
11150.0, 0.22017176
11160.0, 0.22014041
11170.0, 0.22010913
11180.0, 0.2200779
11190.0, 0.22004673
11200.0, 0.22001562
11210.0, 0.21998458
11220.0, 0.21995358
11230.0, 0.21992265
11240.0, 0.21989179
11250.0, 0.21986097
11260.0, 0.21983021
11270.0, 0.21979952
11280.0, 0.21976887
11290.0, 0.21973829
11300.0, 0.21970776
11310.0, 0.2196773
11320.0, 0.21964689
11330.0, 0.21961653
11340.0, 0.21958624
11350.0, 0.219556
11360.0, 0.21952583
11370.0, 0.21949571
11380.0, 0.21946564
11390.0, 0.21943563
11400.0, 0.2194057
11410.0, 0.2193758
11420.0, 0.21934597
11430.0, 0.21931618
11440.0, 0.21928646
11450.0, 0.21925679
11460.0, 0.21922718
11470.0, 0.21919765
11480.0, 0.21916814
11490.0, 0.2191387
11500.0, 0.21910931
11510.0, 0.21907999
11520.0, 0.2190507
11530.0, 0.21902148
11540.0, 0.21899234
11550.0, 0.21896322
11560.0, 0.21893418
11570.0, 0.21890517
11580.0, 0.21887624
11590.0, 0.21884735
