Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 40.0 degree
   X,       Y
10490.0, 0.1562954
10500.0, 0.15626231
10510.0, 0.15622926
10520.0, 0.15619628
10530.0, 0.15616338
10540.0, 0.15613052
10550.0, 0.15609774
10560.0, 0.15606502
10570.0, 0.15603235
10580.0, 0.15599976
10590.0, 0.15596722
10600.0, 0.15593475
10610.0, 0.15590236
10620.0, 0.15587
10630.0, 0.15583773
10640.0, 0.1558055
10650.0, 0.15577336
10660.0, 0.15574126
10670.0, 0.15570922
10680.0, 0.15567724
10690.0, 0.15564534
10700.0, 0.1556135
10710.0, 0.15558171
10720.0, 0.15554999
10730.0, 0.15551832
10740.0, 0.15548673
10750.0, 0.15545519
10760.0, 0.1554237
10770.0, 0.15539227
10780.0, 0.15536092
10790.0, 0.15532963
10800.0, 0.1552984
10810.0, 0.15526722
10820.0, 0.15523611
10830.0, 0.15520506
10840.0, 0.15517406
10850.0, 0.15514313
10860.0, 0.15511225
10870.0, 0.15508144
10880.0, 0.15505067
10890.0, 0.15501998
10900.0, 0.15498935
10910.0, 0.15495877
10920.0, 0.15492825
10930.0, 0.1548978
10940.0, 0.1548674
10950.0, 0.15483706
10960.0, 0.15480678
10970.0, 0.15477654
10980.0, 0.15474638
10990.0, 0.15471628
11000.0, 0.15468623
11010.0, 0.15465625
11020.0, 0.15462631
11030.0, 0.15459643
11040.0, 0.15456663
11050.0, 0.15453687
11060.0, 0.15450718
11070.0, 0.15447752
11080.0, 0.15444794
11090.0, 0.15441842
11100.0, 0.15438893
11110.0, 0.15435953
11120.0, 0.15433018
11130.0, 0.15430088
11140.0, 0.15427163
11150.0, 0.15424246
11160.0, 0.15421332
11170.0, 0.15418425
11180.0, 0.15415524
11190.0, 0.15412627
11200.0, 0.15409738
11210.0, 0.15406853
11220.0, 0.15403974
11230.0, 0.15401101
11240.0, 0.15398233
11250.0, 0.1539537
11260.0, 0.15392514
11270.0, 0.15389663
11280.0, 0.15386817
11290.0, 0.15383977
11300.0, 0.15381141
11310.0, 0.15378313
11320.0, 0.15375489
11330.0, 0.15372671
11340.0, 0.15369858
11350.0, 0.1536705
11360.0, 0.15364249
11370.0, 0.15361452
11380.0, 0.15358661
11390.0, 0.15355876
11400.0, 0.15353096
11410.0, 0.15350321
11420.0, 0.15347552
11430.0, 0.15344788
11440.0, 0.1534203
11450.0, 0.15339276
11460.0, 0.15336528
11470.0, 0.15333787
11480.0, 0.1533105
11490.0, 0.15328318
11500.0, 0.15325591
11510.0, 0.15322869
11520.0, 0.15320154
11530.0, 0.15317443
11540.0, 0.15314738
11550.0, 0.15312038
11560.0, 0.15309343
11570.0, 0.15306653
