Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
8920.0, 0.08583988
8930.0, 0.08580556
8940.0, 0.08577129
8950.0, 0.08573711
8960.0, 0.08570299
8970.0, 0.08566894
8980.0, 0.085634954
8990.0, 0.08560103
9000.0, 0.085567184
9010.0, 0.0855334
9020.0, 0.08549969
9030.0, 0.08546604
9040.0, 0.08543246
9050.0, 0.08539894
9060.0, 0.0853655
9070.0, 0.08533212
9080.0, 0.0852988
9090.0, 0.085265554
9100.0, 0.08523237
9110.0, 0.08519925
9120.0, 0.08516621
9130.0, 0.085133225
9140.0, 0.0851003
9150.0, 0.08506745
9160.0, 0.08503467
9170.0, 0.085001945
9180.0, 0.08496928
9190.0, 0.08493669
9200.0, 0.08490417
9210.0, 0.08487171
9220.0, 0.084839314
9230.0, 0.084806986
9240.0, 0.08477471
9250.0, 0.08474251
9260.0, 0.08471037
9270.0, 0.08467829
9280.0, 0.084646285
9290.0, 0.08461434
9300.0, 0.08458245
9310.0, 0.084550634
9320.0, 0.08451887
9330.0, 0.08448718
9340.0, 0.08445555
9350.0, 0.084423974
9360.0, 0.08439247
9370.0, 0.08436103
9380.0, 0.08432966
9390.0, 0.084298335
9400.0, 0.08426708
9410.0, 0.084235884
9420.0, 0.08420476
9430.0, 0.084173694
9440.0, 0.084142685
9450.0, 0.08411174
9460.0, 0.08408086
9470.0, 0.08405004
9480.0, 0.08401928
9490.0, 0.08398858
9500.0, 0.08395794
9510.0, 0.08392736
9520.0, 0.08389685
9530.0, 0.083866395
9540.0, 0.083836
9550.0, 0.083805665
9560.0, 0.08377539
9570.0, 0.08374518
9580.0, 0.08371503
9590.0, 0.08368493
9600.0, 0.0836549
9610.0, 0.08362493
9620.0, 0.083595015
9630.0, 0.08356516
9640.0, 0.08353537
9650.0, 0.08350564
9660.0, 0.083475955
9670.0, 0.083446346
9680.0, 0.08341679
9690.0, 0.08338729
9700.0, 0.08335785
9710.0, 0.08332847
9720.0, 0.083299145
9730.0, 0.08326988
9740.0, 0.08324068
9750.0, 0.08321153
9760.0, 0.08318244
9770.0, 0.08315341
9780.0, 0.08312444
9790.0, 0.08309552
9800.0, 0.08306666
9810.0, 0.08303786
9820.0, 0.08300912
9830.0, 0.08298043
9840.0, 0.0829518
9850.0, 0.08292323
9860.0, 0.08289472
9870.0, 0.08286626
9880.0, 0.08283786
9890.0, 0.08280951
9900.0, 0.08278122
9910.0, 0.082752995
9920.0, 0.08272482
9930.0, 0.0826967
9940.0, 0.08266864
9950.0, 0.082640626
9960.0, 0.08261268
