Energy (in eV), backscattering yield of material np2k-NASCAP at incidence 30.0 degree
   X,       Y
8680.0, 0.1034244
8690.0, 0.10338109
8700.0, 0.103337854
8710.0, 0.103294715
8720.0, 0.10325164
8730.0, 0.10320866
8740.0, 0.10316576
8750.0, 0.10312295
8760.0, 0.10308022
8770.0, 0.103037566
8780.0, 0.102995
8790.0, 0.10295251
8800.0, 0.10291012
8810.0, 0.10286779
8820.0, 0.102825545
8830.0, 0.10278339
8840.0, 0.102741316
8850.0, 0.102699324
8860.0, 0.10265741
8870.0, 0.10261558
8880.0, 0.10257383
8890.0, 0.102532156
8900.0, 0.10249057
8910.0, 0.10244906
8920.0, 0.102407634
8930.0, 0.10236628
8940.0, 0.10232501
8950.0, 0.10228383
8960.0, 0.102242716
8970.0, 0.102201685
8980.0, 0.10216074
8990.0, 0.10211986
9000.0, 0.10207908
9010.0, 0.10203836
9020.0, 0.101997726
9030.0, 0.10195717
9040.0, 0.1019167
9050.0, 0.101876296
9060.0, 0.10183597
9070.0, 0.10179574
9080.0, 0.10175557
9090.0, 0.10171549
9100.0, 0.10167547
9110.0, 0.101635545
9120.0, 0.10159569
9130.0, 0.10155591
9140.0, 0.10151622
9150.0, 0.101476595
9160.0, 0.10143705
9170.0, 0.10139758
9180.0, 0.10135818
9190.0, 0.10131887
9200.0, 0.10127964
9210.0, 0.10124047
9220.0, 0.10120138
9230.0, 0.101162374
9240.0, 0.10112344
9250.0, 0.101084575
9260.0, 0.10104579
9270.0, 0.101007074
9280.0, 0.10096845
9290.0, 0.10092988
9300.0, 0.1008914
9310.0, 0.10085299
9320.0, 0.10081465
9330.0, 0.10077638
9340.0, 0.100738205
9350.0, 0.10070008
9360.0, 0.100662045
9370.0, 0.10062408
9380.0, 0.10058619
9390.0, 0.100548364
9400.0, 0.10051062
9410.0, 0.10047295
9420.0, 0.10043535
9430.0, 0.100397825
9440.0, 0.10036036
9450.0, 0.10032299
9460.0, 0.10028568
9470.0, 0.10024845
9480.0, 0.100211285
9490.0, 0.10017418
9500.0, 0.100137174
9510.0, 0.10010023
9520.0, 0.10006335
9530.0, 0.10002654
9540.0, 0.09998981
9550.0, 0.09995315
9560.0, 0.099916555
9570.0, 0.09988004
9580.0, 0.099843584
9590.0, 0.09980721
9600.0, 0.0997709
9610.0, 0.099734664
9620.0, 0.09969851
9630.0, 0.09966241
9640.0, 0.09962638
9650.0, 0.09959043
9660.0, 0.09955453
9670.0, 0.099518724
9680.0, 0.099482976
9690.0, 0.0994473
9700.0, 0.09941169
9710.0, 0.09937615
9720.0, 0.099340685
9730.0, 0.09930527
9740.0, 0.09926995
9750.0, 0.099234685
9760.0, 0.09919948
9770.0, 0.09916437
9780.0, 0.099129304
9790.0, 0.09909431
9800.0, 0.09905939
9810.0, 0.099024534
9820.0, 0.09898975
9830.0, 0.098955035
9840.0, 0.098920375
9850.0, 0.0988858
9860.0, 0.09885128
9870.0, 0.098816834
9880.0, 0.09878245
9890.0, 0.098748125
9900.0, 0.098713875
9910.0, 0.0986797
9920.0, 0.09864558
9930.0, 0.09861153
9940.0, 0.09857755
9950.0, 0.09854363
9960.0, 0.09850978
9970.0, 0.09847599
9980.0, 0.09844227
9990.0, 0.09840862
10000.0, 0.09837503
10010.0, 0.09834151
10020.0, 0.09830805
10030.0, 0.098274656
10040.0, 0.09824132
10050.0, 0.09820806
10060.0, 0.09817486
10070.0, 0.09814173
10080.0, 0.09810866
10090.0, 0.09807566
10100.0, 0.09804271
10110.0, 0.09800984
10120.0, 0.09797702
10130.0, 0.097944275
10140.0, 0.09791159
10150.0, 0.09787897
10160.0, 0.09784641
10170.0, 0.09781391
10180.0, 0.09778148
10190.0, 0.097749114
10200.0, 0.09771681
10210.0, 0.09768456
10220.0, 0.09765238
10230.0, 0.09762026
10240.0, 0.09758821
10250.0, 0.097556226
10260.0, 0.09752429
10270.0, 0.097492434
10280.0, 0.09746062
10290.0, 0.09742887
10300.0, 0.0973972
10310.0, 0.09736557
10320.0, 0.09733402
10330.0, 0.097302526
10340.0, 0.097271085
10350.0, 0.0972397
10360.0, 0.0972084
10370.0, 0.09717714
10380.0, 0.09714595
10390.0, 0.09711482
10400.0, 0.09708375
10410.0, 0.09705274
10420.0, 0.097021796
10430.0, 0.096990906
10440.0, 0.09696008
10450.0, 0.096929304
10460.0, 0.0968986
10470.0, 0.09686795
10480.0, 0.09683736
10490.0, 0.09680683
10500.0, 0.096776366
10510.0, 0.09674595
10520.0, 0.09671561
10530.0, 0.09668531
10540.0, 0.09665508
10550.0, 0.0966249
10560.0, 0.09659479
10570.0, 0.09656473
10580.0, 0.09653474
10590.0, 0.09650479
10600.0, 0.096474916
10610.0, 0.09644509
10620.0, 0.096415326
10630.0, 0.09638562
10640.0, 0.096355975
10650.0, 0.09632639
10660.0, 0.096296854
10670.0, 0.09626737
10680.0, 0.09623796
10690.0, 0.0962086
10700.0, 0.09617929
10710.0, 0.09615005
10720.0, 0.09612086
10730.0, 0.09609173
10740.0, 0.096062645
10750.0, 0.09603363
10760.0, 0.09600467
10770.0, 0.095975764
10780.0, 0.095946915
10790.0, 0.09591813
10800.0, 0.09588939
10810.0, 0.095860705
10820.0, 0.09583209
10830.0, 0.09580352
10840.0, 0.09577501
10850.0, 0.095746554
10860.0, 0.09571815
10870.0, 0.0956898
10880.0, 0.095661506
10890.0, 0.095633276
10900.0, 0.09560509
10910.0, 0.09557697
10920.0, 0.0955489
10930.0, 0.095520884
10940.0, 0.09549292
10950.0, 0.09546502
10960.0, 0.09543716
10970.0, 0.09540936
10980.0, 0.095381625
10990.0, 0.09535394
11000.0, 0.0953263
11010.0, 0.09529872
11020.0, 0.09527119
11030.0, 0.09524372
11040.0, 0.0952163
11050.0, 0.09518894
11060.0, 0.095161624
11070.0, 0.09513436
11080.0, 0.09510716
11090.0, 0.09508001
11100.0, 0.095052905
11110.0, 0.09502587
11120.0, 0.09499887
11130.0, 0.094971925
11140.0, 0.094945036
11150.0, 0.09491821
11160.0, 0.09489142
11170.0, 0.09486469
11180.0, 0.09483801
11190.0, 0.09481139
11200.0, 0.0947848
11210.0, 0.09475828
11220.0, 0.094731815
11230.0, 0.094705395
11240.0, 0.09467903
11250.0, 0.09465271
11260.0, 0.09462644
11270.0, 0.09460024
11280.0, 0.09457407
11290.0, 0.094547965
11300.0, 0.0945219
11310.0, 0.0944959
11320.0, 0.09446994
11330.0, 0.09444404
11340.0, 0.094418176
11350.0, 0.09439237
11360.0, 0.09436662
11370.0, 0.09434091
11380.0, 0.09431525
11390.0, 0.094289646
11400.0, 0.0942641
11410.0, 0.094238594
11420.0, 0.09421314
11430.0, 0.09418774
11440.0, 0.094162375
11450.0, 0.09413707
11460.0, 0.094111815
11470.0, 0.09408661
11480.0, 0.09406145
11490.0, 0.09403635
11500.0, 0.094011284
11510.0, 0.09398627
11520.0, 0.09396131
11530.0, 0.093936406
11540.0, 0.09391154
11550.0, 0.093886726
11560.0, 0.09386197
