Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
8430.0, 0.12987937
8440.0, 0.12984174
8450.0, 0.12980421
8460.0, 0.12976673
8470.0, 0.12972935
8480.0, 0.12969203
8490.0, 0.1296548
8500.0, 0.12961762
8510.0, 0.12958053
8520.0, 0.1295435
8530.0, 0.12950654
8540.0, 0.12946968
8550.0, 0.12943287
8560.0, 0.12939613
8570.0, 0.12935948
8580.0, 0.1293229
8590.0, 0.1292864
8600.0, 0.12924995
8610.0, 0.12921359
8620.0, 0.1291773
8630.0, 0.12914108
8640.0, 0.12910493
8650.0, 0.12906885
8660.0, 0.12903285
8670.0, 0.12899692
8680.0, 0.12896107
8690.0, 0.12892528
8700.0, 0.12888956
8710.0, 0.12885392
8720.0, 0.12881835
8730.0, 0.12878284
8740.0, 0.1287474
8750.0, 0.12871204
8760.0, 0.12867676
8770.0, 0.12864153
8780.0, 0.12860638
8790.0, 0.1285713
8800.0, 0.1285363
8810.0, 0.12850136
8820.0, 0.12846649
8830.0, 0.12843168
8840.0, 0.12839694
8850.0, 0.12836228
8860.0, 0.12832768
8870.0, 0.12829316
8880.0, 0.1282587
8890.0, 0.12822431
8900.0, 0.12819
8910.0, 0.12815575
8920.0, 0.12812157
8930.0, 0.12808746
8940.0, 0.12805341
8950.0, 0.12801942
8960.0, 0.12798552
8970.0, 0.12795167
8980.0, 0.1279179
8990.0, 0.1278842
9000.0, 0.12785055
9010.0, 0.12781698
9020.0, 0.12778348
9030.0, 0.12775004
9040.0, 0.12771666
9050.0, 0.12768336
9060.0, 0.12765011
9070.0, 0.12761694
9080.0, 0.12758383
9090.0, 0.12755078
9100.0, 0.1275178
9110.0, 0.1274849
9120.0, 0.12745206
9130.0, 0.12741928
9140.0, 0.12738656
9150.0, 0.12735392
9160.0, 0.12732133
9170.0, 0.12728882
9180.0, 0.12725636
9190.0, 0.12722397
9200.0, 0.12719165
9210.0, 0.12715939
9220.0, 0.1271272
9230.0, 0.12709506
9240.0, 0.12706299
9250.0, 0.12703098
9260.0, 0.12699905
9270.0, 0.12696718
9280.0, 0.12693536
9290.0, 0.12690361
9300.0, 0.12687193
9310.0, 0.12684031
9320.0, 0.12680875
9330.0, 0.12677725
9340.0, 0.12674582
9350.0, 0.12671444
9360.0, 0.12668313
9370.0, 0.1266519
9380.0, 0.12662071
9390.0, 0.12658958
9400.0, 0.12655853
9410.0, 0.12652753
9420.0, 0.1264966
9430.0, 0.12646572
9440.0, 0.1264349
9450.0, 0.12640417
9460.0, 0.12637347
9470.0, 0.12634285
9480.0, 0.12631229
9490.0, 0.12628177
9500.0, 0.12625133
9510.0, 0.12622094
9520.0, 0.12619062
9530.0, 0.12616035
9540.0, 0.12613015
9550.0, 0.1261
9560.0, 0.12606992
9570.0, 0.1260399
9580.0, 0.12600994
9590.0, 0.12598003
9600.0, 0.12595019
9610.0, 0.1259204
9620.0, 0.12589069
9630.0, 0.12586102
9640.0, 0.12583141
9650.0, 0.12580186
9660.0, 0.12577237
9670.0, 0.12574294
9680.0, 0.12571357
9690.0, 0.12568426
9700.0, 0.12565501
