Energy (in eV), SEEE yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
10920.0, 0.28689146
10930.0, 0.28669098
10940.0, 0.28649077
10950.0, 0.28629085
10960.0, 0.28609133
10970.0, 0.28589204
10980.0, 0.28569314
10990.0, 0.28549448
11000.0, 0.28529617
11010.0, 0.28509825
11020.0, 0.2849006
11030.0, 0.28470322
11040.0, 0.28450617
11050.0, 0.28430948
11060.0, 0.28411308
11070.0, 0.28391698
11080.0, 0.28372118
11090.0, 0.28352568
11100.0, 0.28333053
11110.0, 0.28313565
11120.0, 0.28294116
11130.0, 0.28274688
11140.0, 0.28255293
11150.0, 0.28235933
11160.0, 0.28216594
11170.0, 0.28197294
11180.0, 0.2817802
11190.0, 0.28158778
11200.0, 0.2813957
11210.0, 0.28120387
11220.0, 0.28101233
11230.0, 0.28082114
11240.0, 0.2806302
11250.0, 0.2804396
11260.0, 0.2802492
11270.0, 0.28005922
11280.0, 0.2798695
11290.0, 0.27968004
11300.0, 0.27949092
11310.0, 0.27930206
11320.0, 0.2791135
11330.0, 0.27892527
11340.0, 0.27873728
11350.0, 0.27854958
11360.0, 0.2783622
11370.0, 0.27817506
11380.0, 0.27798828
11390.0, 0.27780172
11400.0, 0.27761546
11410.0, 0.27742955
11420.0, 0.27724385
11430.0, 0.27705845
11440.0, 0.2768734
11450.0, 0.27668852
11460.0, 0.27650404
11470.0, 0.27631977
11480.0, 0.27613583
11490.0, 0.27595213
11500.0, 0.27576873
11510.0, 0.27558562
11520.0, 0.27540272
11530.0, 0.27522016
11540.0, 0.27503785
11550.0, 0.27485585
11560.0, 0.27467412
11570.0, 0.27449265
11580.0, 0.27431145
11590.0, 0.27413055
11600.0, 0.27394992
11610.0, 0.27376956
