Energy (in eV), backscattering yield of material osr2k-NASCAP at incidence 40.0 degree
   X,       Y
11270.0, 0.19432455
11280.0, 0.19429806
11290.0, 0.19427161
11300.0, 0.1942452
11310.0, 0.19421887
11320.0, 0.19419257
11330.0, 0.19416633
11340.0, 0.19414014
11350.0, 0.194114
11360.0, 0.19408792
11370.0, 0.19406188
11380.0, 0.19403589
11390.0, 0.19400994
11400.0, 0.19398408
11410.0, 0.19395824
11420.0, 0.19393246
11430.0, 0.19390672
11440.0, 0.19388103
11450.0, 0.1938554
11460.0, 0.19382982
11470.0, 0.1938043
11480.0, 0.19377881
11490.0, 0.19375338
11500.0, 0.193728
11510.0, 0.19370265
11520.0, 0.19367738
11530.0, 0.19365214
11540.0, 0.19362697
11550.0, 0.19360183
11560.0, 0.19357675
